,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance
st26664,44.84,2230.55,1.82
st26665,40.07,5396.14,0.34
st26666,44.25,6857.89,0.67
st26667,18.35,570.26,2.16
st26668,57.71,3886.97,1.69
st26669,45.51,4602.89,2.57
st26670,42.71,1979.13,4.29
st26671,50.67,3137.28,0.34
st26672,39.12,1682.69,1.82
st26673,53.97,4397.76,1.69
st26674,34.34,1219.09,1.91
st26675,15.57,581.29,0.34
st26676,23.07,1027.38,0.34
st26677,19.92,861.59,3.93
st26678,43.8,5152.91,1.69
st26679,35.9,2662.65,1.69
st26680,34.99,2397.47,1.69
st26681,14.73,385.14,0.34
st26682,36.42,2140.03,1.69
st26683,15.26,247.21,0.34
st26684,34.4,1688.6,0.34
st26685,33.18,1461.98,1.69
st26686,45.43,10969.43,1.69
st26687,46.5,3096.34,1.82
st26688,41.49,3864.68,1.69
st26689,49.79,5953.66,1.39
st26690,31.53,1351.91,1.01
st26691,38.7,1445.72,2.05
st26692,32.43,3231.31,1.51
st26693,40.87,2411.69,1.69
st26694,31.09,1908.18,1.01
st26695,27.19,1160.64,0.34
st26696,31.38,1733.52,0.34
st26697,41.4,5908.74,1.35
st26698,22.62,556.95,3.02
st26699,27.81,3252.92,0.34
st26700,27.14,894.45,3.71
st26701,16.21,502.03,0.34
st26702,41.98,4077.66,2.02
st26703,36.8,1422.29,2.63
st26704,24.1,1079.57,2.05
st26705,15.74,380.13,1.97
st26706,36.69,3102.71,1.69
st26707,25.25,685.79,2.43
st26708,13.66,324.64,9.3
st26709,16.09,440.29,2.72
st26710,27.86,856.35,3.95
st26711,21.59,1284.25,2.05
st26712,29.8,1136.42,2.7
st26713,30.58,1084.8,1.51
st26714,46.5,3122.38,1.51
st26715,39.93,1854.96,2.7
st26716,36.72,1789.35,1.69
st26717,43.17,1812.66,2.72
st26718,41.71,1673.36,5.72
st26719,38.44,2763.05,1.35
st26720,38.15,1808.45,1.69
st26721,36.92,1363.5,4.72
st26722,48.2,4362.39,1.39
st26723,35.85,3088.27,1.39
st26724,27.14,847.71,1.69
st26725,46.23,2871.99,3.18
st26726,29.61,1164.28,2.86
st26727,10.66,482.02,0.34
st26728,18.74,388.55,2.26
st26729,43.87,3585.86,1.69
st26730,27.66,1115.84,4.07
st26731,44.66,5875.43,1.69
st26732,42.72,5390.68,3.34
st26733,31.38,1592.18,2.13
st26734,36.37,1641.18,3.47
st26735,22.09,1194.53,2.7
st26736,22.27,687.95,1.91
st26737,38.01,1776.16,1.51
st26738,31.7,1242.52,2.7
st26739,12.88,316.57,0.34
st26740,30.76,2101.26,3.77
st26741,50.01,6621.82,1.22
st26742,33.72,1304.03,1.69
st26743,22.33,629.84,5.4
st26744,33.07,1275.95,1.97
st26745,40.61,5505.87,0.67
st26746,20.05,464.85,0.34
st26747,43.58,4235.72,1.69
st26748,23.68,554.68,4.05
st26749,24.61,854.65,1.69
st26750,33.48,2857.09,1.39
st26751,18.16,356.6,1.72
st26752,21.72,728.54,2.72
st26753,22.42,735.25,1.39
st26754,21.68,503.97,4.06
st26755,29.67,902.07,3.02
st26756,44.67,2335.39,1.39
st26757,18.88,394.58,2.13
st26758,43.94,4170.56,1.69
st26759,38.15,1615.03,1.39
st26760,29.07,1145.98,0.67
st26761,24.73,829.63,0.34
st26762,12.4,181.6,3.05
st26763,50.27,3082.35,2.38
st26764,22.42,740.26,4.23
st26765,33.49,1613.21,1.72
st26766,41.15,4359.55,2.13
st26767,40.25,3017.99,1.97
st26768,34.55,1293,2.05
st26769,44.83,4031.95,1.39
st26770,56.73,8909.68,1.82
st26771,41.11,5517.81,2.13
st26772,42.33,5410.46,1.39
st26773,18.65,518.98,2.02
st26774,39.81,3382.21,0.34
st26775,28.81,805.53,2.02
st26776,32.37,1683.71,1.97
st26777,41.99,5192.14,1.82
st26778,19.56,723.09,3.37
st26779,32.06,3284.42,0.34
st26780,45,3194.47,1.51
st26781,39.28,1676.66,3.37
st26782,29.07,943.46,3.2
st26783,24.95,1318.93,1.91
st26784,37.09,1808.91,1.82
st26785,20.82,434.49,1.69
st26786,33.05,1800.61,0.34
st26787,44.01,2406,2.9
st26788,43.09,3002.3,0.34
st26789,41.23,3676.6,0.34
st26790,24.15,1233.19,0.34
st26791,15.51,303.61,3.03
st26792,20.91,599.14,0.34
st26793,18.52,395.71,0.34
st26794,18.88,583.22,0.34
st26795,44.87,5567.5,0.34
st26796,38.08,3131.02,0.34
st26797,25.81,1714.53,0.34
st26798,13.76,295.42,7.79
st26799,29.28,1316.65,5.61
st26800,51.3,4661.22,2.38
st26801,62.82,6784.09,4.05
st26802,48.73,6048.27,3.32
st26803,31.9,2757.37,3.32
st26804,49.1,3138.75,2.38
st26805,36.32,2088.29,4.05
st26806,25.81,1246.38,0.34
st26807,40.47,2729.51,3.05
st26808,33.78,2025.3,3.44
st26809,33.48,1868.95,3.44
st26810,47.39,3154.79,4.05
st26811,33.6,1451.86,0.95
st26812,31.83,1105.61,2.26
st26813,30.54,1340.65,4.38
st26814,37.97,3016.86,4.44
st26815,58.99,4587.99,1.69
st26816,17.65,386.27,0.95
st26817,64.48,5124.82,2.13
st26818,23.07,1423.43,3.71
st26819,38.82,2967.73,4.23
st26820,54.39,11258.6,1.35
st26821,32.27,2019.95,4.38
st26822,20.33,1032.26,3.71
st26823,13.57,382.07,0.34
st26824,38.75,1957.41,4.07
st26825,32.44,1441.96,3.18
st26826,24.36,829.86,2.88
st26827,28.69,1935.47,0.34
st26828,38.12,1865.65,3.39
st26829,41.15,2262.27,3.32
st26830,28.97,1183.95,0.34
st26831,30.31,2630.13,3.39
st26832,47.43,4437.9,0.34
st26833,42.25,3065.75,1.69
st26834,65.9,8448.47,1.69
st26835,37.04,2933.51,2.16
st26836,12.97,191.37,5.45
st26837,35.33,2150.15,2.7
st26838,54.86,11069.73,1.69
st26839,30.95,1414.79,1.97
st26840,55.45,6480.71,1.97
st26841,26.77,1129.94,1.69
st26842,46.58,4686.35,1.91
st26843,44.38,2682.32,3.47
st26844,40.21,3399.95,1.97
st26845,17.65,494.75,5.06
st26846,41.38,3557.44,3.47
st26847,20.51,977.91,2.02
st26848,51.42,3629.98,1.97
st26849,17.23,359.21,3.58
st26850,41.02,2118.88,2.05
st26851,39.57,1990.39,3.58
st26852,18.41,645.88,3.11
st26853,31.76,1882.37,2.43
st26854,68.25,5786.62,2.86
st26855,44.76,7456.91,1.69
st26856,34.34,1754.78,2.05
st26857,47.6,10196.09,2.36
st26858,23.41,1257.98,1.22
st26859,22.33,1080.14,1.22
st26860,21.47,599.71,2.36
st26861,40.34,4250.27,2.43
st26862,55.45,6930.66,1.69
st26863,39.81,3201.29,2.16
st26864,26.75,1110.5,1.22
st26865,50.33,3139.32,0.34
st26866,44.04,2117.75,2.16
st26867,14.34,468.03,0.34
st26868,57.73,11725.04,1.91
st26869,13.57,458.59,11.31
st26870,57.91,4798.7,1.69
st26871,34.02,1391.59,10.84
st26872,39.29,2292.86,5.44
st26873,30.95,2034.4,2.57
st26874,40.9,2143.33,5.89
st26875,59.06,8031.61,4.27
st26876,52.76,5697.01,2.05
st26877,48.86,6651.16,4.83
st26878,14.16,194.67,9.1
st26879,37.04,4994.85,1.69
st26880,28.37,1167.81,2.26
st26881,17.82,518.41,10.72
st26882,43.59,4345.56,4.07
st26883,39.39,2356.2,7.54
st26884,30.16,962.11,3.58
st26885,43.76,3799.53,2.9
st26886,35.33,2105.47,0.34
st26887,26.71,1040.68,3.58
st26888,25.2,1017.6,3.34
st26889,40.74,4747.53,1.82
st26890,50.58,4140.09,1.91
st26891,15.51,325.1,7.79
st26892,44.15,4533.64,2.16
st26893,21.47,627.57,4.05
st26894,36.19,2028.26,8.33
st26895,41.88,2014.38,1.22
st26896,20.48,907.75,0.34
st26897,13.66,516.93,4.38
st26898,38.18,2369.39,0.34
st26899,22.25,607.1,1.39
st26900,33.05,1368.62,2.05
st26901,37.7,5617.08,4.38
st26902,36.69,1345.42,1.69
st26903,31.67,1394.32,1.39
st26904,25.04,778.01,2.02
st26905,11.22,582.77,0.95
st26906,17.19,748.33,1.69
st26907,25.66,1623.1,4.06
st26908,14.31,293.49,6.2
st26909,19.84,422.43,2.7
st26910,16.09,707.96,2.16
st26911,32.06,2888.36,1.35
st26912,24.96,1151.66,3.03
st26913,49.57,6453.42,2.02
st26914,44.51,6499.24,0.34
st26915,23.53,670.32,4.5
st26916,31.95,1007.59,3.18
st26917,29.18,1667.91,2.26
st26918,15.92,400.15,1.39
st26919,42.59,5407.73,4.27
st26920,16.91,429.26,1.01
st26921,36.8,1641.75,1.35
st26922,19.6,925.49,1.35
st26923,38.18,3303.07,1.69
st26924,40.47,3817.72,1.01
st26925,26.85,822.01,4.68
st26926,29.95,1535.78,1.97
st26927,38.2,5646.41,1.22
st26928,31,971.88,5.4
st26929,33.54,2460.01,3.18
st26930,12.88,640.19,0.34
st26931,16.3,568.21,1.39
st26932,36.95,2233.96,1.82
st26933,13.57,280.41,0.34
st26934,28.14,1637.09,1.82
st26935,29.18,1648.23,2.43
st26936,26.44,1100.49,2.7
st26937,20.92,732.07,2.38
st26938,21.17,767.89,0.34
st26939,43.09,4199.45,2.88
st26940,27.52,2030.53,2.13
st26941,29.2,1366.35,2.13
st26942,30.5,4083.35,1.51
st26943,46.51,5285.61,1.39
st26944,28.83,1339.51,1.82
st26945,15.39,299.51,2.05
st26946,28.81,961.42,1.22
st26947,31.7,1196.58,1.91
st26948,39.1,4033.2,1.82
st26949,38.18,5942.17,1.69
st26950,28.17,2535.18,2.63
st26951,23.46,715.92,3.77
st26952,27.13,1692.01,1.69
st26953,36.9,1417.52,2.13
st26954,39.81,4707.73,2.02
st26955,31.02,1118.57,1.51
st26956,36.95,1734.65,3.58
st26957,34.4,1288.57,1.39
st26958,31.05,1045.57,1.97
st26959,44.04,3668.53,1.69
st26960,41.82,6843.1,2.13
st26961,29.18,1106.97,1.51
st26962,31.98,1629.36,1.35
st26963,24.95,1205.1,4.07
st26964,56.11,6620.23,0.34
st26965,33.07,1718.17,1.39
st26966,35.77,1726.7,1.69
st26967,26.57,1783.55,1.35
st26968,40.15,2707.11,2.7
st26969,18.35,494.64,1.69
st26970,21.97,1097.88,2.26
st26971,28.07,1117.66,1.39
st26972,27.65,1144.04,2.36
st26973,37.4,3318.76,1.91
st26974,37.98,2457.17,1.69
st26975,38.59,1745.34,1.51
st26976,33.48,3260.65,1.22
st26977,38.06,3362.76,1.39
st26978,31.47,1560.79,1.69
st26979,37.75,2634.45,0.34
st26980,38.98,1461.86,2.7
st26981,24.95,889.1,2.72
st26982,19.85,920.71,2.02
st26983,27.33,762.88,3.11
st26984,36.42,2292.29,1.69
st26985,43.54,2498.45,2.16
st26986,24.45,969.04,1.22
st26987,31.46,1070.59,1.51
st26988,25.03,859.2,2.16
st26989,44.56,5784.68,1.51
st26990,23.72,985.76,1.97
st26991,38.25,1962.42,2.72
st26992,37.11,3140.69,2.13
st26993,45.13,3208.91,3.18
st26994,29.28,2453.99,1.22
st26995,37.8,3421.44,1.97
st26996,25.32,935.72,0.34
st26997,58.44,7522.3,1.72
st26998,26.58,1266.39,2.16
st26999,18.9,1729.99,0.34
st27000,73.62,17995.61,0.34
st27001,54.37,2646.73,2.16
st27002,39.79,2363.02,0.34
st27003,43.77,3024.82,2.78
st27004,49.69,7889.47,0.34
st27005,37.21,1966.74,0.34
st27006,44.15,4021.49,0.34
st27007,41.03,2760.32,3.63
st27008,35.62,1917.39,4.12
st27009,15.74,286.78,0.34
st27010,52.53,9503.48,2.38
st27011,27.65,911.85,1.72
st27012,13.49,347.04,10.56
st27013,58.39,19104.4,1.51
st27014,63.98,11141.59,7.04
st27015,21.96,892.29,2.36
st27016,47.56,7885.26,2.38
st27017,36.97,5668.59,2.57
st27018,52.46,2941.69,3.11
st27019,48.45,4960.85,4.83
st27020,26.44,1598.77,0.34
st27021,58.52,4892.51,10.11
st27022,45.09,3467.38,5.01
st27023,52.02,3652.84,7.99
st27024,53.42,7233.47,3.93
st27025,37.11,3597.23,0.34
st27026,30.68,1425.13,1.51
st27027,54.99,3713.45,2.43
st27028,26.98,1785.03,2.72
st27029,76.65,11865.7,4.38
st27030,42.87,2587.71,5.73
st27031,64.75,7379.02,4.91
st27032,26.98,1753.99,3.93
st27033,58.88,5125.62,4.17
st27034,47.47,2579.64,3.77
st27035,63.64,9549.07,0.75
st27036,26.52,1047.62,0.34
st27037,24.13,1042.27,8.43
st27038,16.03,387.07,4.38
st27039,28.96,828.04,3.77
st27040,28.63,1360.21,10.14
st27041,60.76,5312.22,2.45
st27042,49.01,5023.51,0.34
st27043,68.79,7292.15,4.52
st27044,24.61,824.86,11.69
st27045,37.6,2861.64,11.61
st27046,60.7,4854.99,4.38
st27047,22.62,563.44,0.75
st27048,17.23,555.02,4.05
st27049,59.12,6353.35,3.47
st27050,64.42,6796.37,2.45
st27051,25.1,801.2,1.82
st27052,21.43,1482.22,0.34
st27053,40.87,2120.47,1.82
st27054,30.71,1967.88,5.73
st27055,51.58,3734.37,9.54
st27056,27.52,804.73,0.34
st27057,38.25,1995.62,5.15
st27058,48.72,3586.2,3.58
st27059,34.19,1802.2,0.34
st27060,66.79,9702.47,3.47
st27061,26.61,962.22,5.44
st27062,54.84,4552.63,2.36
st27063,32.41,1467.09,5.4
st27064,57.61,7751.99,1.69
st27065,35.36,5051.02,0.34
st27066,45.47,5633.45,7.26
st27067,40.07,2282.97,2.26
st27068,49.23,3352.64,2.36
st27069,51.1,9514.62,2.26
st27070,53.65,5041.7,4.5
st27071,64.66,19160.35,2.63
st27072,20.23,504.65,6.55
st27073,22.9,525.34,1.69
st27074,25.35,930.49,1.97
st27075,31.7,1363.5,12.16
st27076,38.58,2212.58,1.97
st27077,26.38,683.74,6.55
st27078,58.44,5430.48,3.32
st27079,53.96,4606.98,2.7
st27080,32.04,2683.34,6.82
st27081,26.03,778.58,4.17
st27082,26.58,1091.39,6.82
st27083,14.79,211.62,1.69
st27084,65.3,4568.66,1.69
st27085,29.56,945.73,6.27
st27086,35.92,2509.14,2.7
st27087,70.19,8021.71,1.91
st27088,39.12,1519.63,7.58
st27089,33.6,3948.15,7.54
st27090,36.5,1442.99,7.58
st27091,63.6,8210.7,0.34
st27092,41.93,3132.39,7.43
st27093,36.07,2536.54,7.43
st27094,56.33,5016.68,2.88
st27095,15.16,563.66,0.34
st27096,14.84,286.21,0.34
st27097,21.43,1030.1,7.96
st27098,29.31,3494.21,19.1
st27099,27.86,1469.48,6.41
st27100,11.47,240.84,2.72
st27101,23.56,2565.88,8.9
st27102,47.52,8939.13,0.34
st27103,18.6,511.58,0.34
st27104,43.16,2487.08,7.87
st27105,17.86,734.34,0.34
st27106,29.63,1742.27,9.44
st27107,18.22,415.61,4.72
st27108,15.22,385.25,5.44
st27109,23.18,665.43,13.76
st27110,26.3,3358.1,7.69
st27111,12.72,208.55,12.88
st27112,10.79,203.09,7.69
st27113,22.9,1481.99,14.81
st27114,28.17,1742.5,12.26
st27115,40.42,4967.33,2.36
st27116,23.26,1526.91,1.07
st27117,25.77,2138.78,2.88
st27118,36.07,4149.19,1.07
st27119,20.28,829.06,5.06
st27120,18.21,1080.48,2.36
st27121,36.26,2720.41,2.88
st27122,39.15,3012.19,0.34
st27123,11.45,330.44,4.79
st27124,32.24,5897.83,0.34
st27125,35.74,2014.72,8.27
st27126,24.95,1575.23,3.02
st27127,36.92,3213.46,4.05
st27128,40.82,3841.83,0.34
st27129,22.93,1152.57,3.77
st27130,11.22,370.92,0.34
st27131,14.56,311,14.81
st27132,23.76,2054.41,2.26
st27133,31.7,2180.74,3.03
st27134,19.97,1205.45,0.34
st27135,22.94,2456.83,2.26
st27136,14.9,960.85,6.08
st27137,30.47,5549.76,4.72
st27138,30.35,2078.52,11.92
st27139,12.97,391.85,11.92
st27140,22.9,1851.89,9.1
st27141,39.21,4009.32,0.34
st27142,20.23,1560.68,2.57
st27143,31.7,1934.33,2.57
st27144,25.63,1805.72,2.36
st27145,14.08,206.95,3.84
st27146,31.58,1605.37,7.49
st27147,36.82,5305.05,7.49
st27148,37.1,3938.93,1.01
st27149,14.48,533.76,0.34
st27150,28.33,2191.54,7.22
st27151,12.14,287.57,3.03
st27152,25.18,1569.55,2.7
st27153,18.21,665.32,1.01
st27154,35.07,4335.67,10.14
st27155,34.68,2743.38,2.45
st27156,29.01,1780.03,2.72
st27157,23.05,828.15,3.32
st27158,36.57,2380.3,2.72
st27159,25.28,856.47,0.34
st27160,45.23,15371.06,3.03
st27161,27.68,1627.2,2.45
st27162,27.65,2127.41,5.25
st27163,25.06,739.12,7.42
st27164,23.46,1028.51,6.27
st27165,25.71,1428.55,2.26
st27166,26.06,1635.84,3.03
st27167,23.95,726.72,5.01
st27168,25.39,2572.59,9.73
st27169,24.95,996.67,3.71
st27170,39.17,2614.09,2.26
st27171,28.31,6156.52,1.35
st27172,26.38,1961.39,2.36
st27173,12.83,462.12,9.17
st27174,41.95,10661.96,1.07
st27175,10.53,368.76,0.34
st27176,30.94,1343.15,14.48
st27177,19.92,1341.44,2.38
st27178,30.88,2033.37,5.61
st27179,29.86,3591.32,1.07
st27180,37.48,5160.75,1.35
st27181,18.41,1226.14,2.26
st27182,19.31,382.52,5.61
st27183,35.74,2998.78,2.57
st27184,31.02,7284.07,1.22
st27185,12.81,381.04,1.72
st27186,30.47,2243.51,1.35
st27187,16.9,281.43,8.87
st27188,29.18,1774.79,1.22
st27189,41.84,5989.02,3.71
st27190,26.85,2000.74,8.87
st27191,26.52,1331.44,0.34
st27192,25.18,1500.87,16.89
st27193,24.37,1390.11,12.26
st27194,25.18,831.22,12.69
st27195,29.67,1055.01,0.34
st27196,19.31,958.58,0.34
st27197,64.55,4940.72,0.34
st27198,29.18,1257.64,0.34
st27199,43.34,6386.33,6.27
st27200,68.9,10861.86,0.34
st27201,76.03,15575.51,0.34
st27202,21.72,997.01,0.34
st27203,18.7,350.91,2.26
st27204,30.35,2014.95,2.02
st27205,71.83,5962.07,0.34
st27206,37.77,4158.96,0.34
st27207,53.13,7916.87,0.34
st27208,63.62,6266.48,0.34
st27209,44.94,3484.43,1.82
st27210,28.81,1245.59,2.05
st27211,45.87,2448.76,0.34
st27212,76.45,12360.8,0.34
st27213,10.14,286.32,0.34
st27214,26.52,961.54,0.48
st27215,35.9,1468.34,0.34
st27216,52.19,5536.91,0.34
st27217,52.26,3926.54,0.34
st27218,76.88,9154.61,0.34
st27219,48.56,6035.42,0.34
st27220,80.17,25444.45,3.18
st27221,46.07,3238.7,5.77
st27222,51.93,2837.31,9.11
st27223,10.79,213.78,0.34
st27224,62.49,3972.48,7.4
st27225,55.32,7697.18,5.49
st27226,69.47,5864.05,4.23
st27227,37.5,2708.47,1.69
st27228,69.68,14144.12,3.18
st27229,51.03,3337.75,0.34
st27230,20.91,809.96,4.23
st27231,50.27,3282.71,6
st27232,24.32,624.61,1.91
st27233,41.02,2982.51,7.36
st27234,29.63,1220.11,1.91
st27235,35.39,3266.34,3.58
st27236,38.82,4953.8,2.13
st27237,19.08,378.2,9.83
st27238,24.76,878.87,6.63
st27239,67.44,7871.27,3.44
st27240,20.94,558.77,9.66
st27241,13.3,295.76,1.69
st27242,46.15,2368.48,3.2
st27243,24.96,968.25,1.43
st27244,44.35,3497.85,5.23
st27245,13.84,240.61,8.02
st27246,68.13,20665.76,4.27
st27247,34.55,2996.27,5.76
st27248,61.9,15992.94,2.72
st27249,74.09,9693.6,5.89
st27250,55.5,4782.44,0.34
st27251,62.95,3975.55,2.72
st27252,26.19,863.29,11.13
st27253,63.04,6221.22,7.69
st27254,72.53,9415.24,5.72
st27255,15.73,286.78,9.13
st27256,57.23,3769.96,6.88
st27257,78.84,33281.72,4.68
st27258,37.97,1811.18,2.43
st27259,12.16,196.72,9.41
st27260,58.71,6284.44,10.76
st27261,57.26,6106.49,2.26
st27262,36.05,1590.24,0.34
st27263,15.22,270.97,4.06
st27264,47.88,4659.75,1.97
st27265,17.5,354.44,4.73
st27266,50.46,3339.68,0.34
st27267,34.82,1722.72,5.72
st27268,63.4,4385.7,3.32
st27269,13.57,987.92,0.34
st27270,70.1,11393.46,1.97
st27271,28.46,1420.47,6.51
st27272,35.13,1593.31,4.72
st27273,46.71,2589.99,2.02
st27274,54.99,4625.75,0.34
st27275,25.81,1264.69,2.02
st27276,47.69,3016.74,1.07
st27277,28.25,828.72,4.27
st27278,39.28,5968.78,3.72
st27279,58.74,7389.6,1.35
st27280,38.01,2318.45,3.18
st27281,31.05,1366.01,1.07
st27282,64.74,5387.38,2.43
st27283,37.11,2780.56,0.34
st27284,22.18,1201.81,8.2
st27285,73.77,17472.77,1.01
st27286,14.18,221.05,2.7
st27287,46.28,2438.75,11.05
st27288,40.52,1735.22,1.35
st27289,35.64,1856.78,1.01
st27290,26.19,656.11,16.48
st27291,19.04,334.99,20.57
st27292,22.12,432.56,3.52
st27293,23.95,650.54,3.2
st27294,15.39,252.32,4.06
st27295,30.16,1717.6,0.34
st27296,24.74,842.03,2.05
st27297,42.06,8353.86,0.34
st27298,47.44,2725.76,0.34
st27299,20.21,656.45,5.58
st27300,25.95,852.49,1.69
st27301,14.81,325.21,6.03
st27302,16.9,510.22,0.34
st27303,47.77,2906.44,1.97
st27304,25.63,864.43,2.26
st27305,11.64,511.02,0.34
st27306,11.06,225.37,0.34
st27307,9.54,214,0.34
st27308,61.41,6430.22,0.34
st27309,17.23,867.84,0.34
st27310,37.5,2578.84,0.34
st27311,14.59,253.92,3.02
st27312,33.72,1674.84,1.97
st27313,58.27,4591.41,0.34
st27314,14.16,615.86,0.34
st27315,18.52,702.73,0.34
st27316,19.6,670.78,3.32
st27317,29.01,1245.02,0.34
st27318,10.12,181.14,0.34
st27319,26.3,2617.62,0.34
st27320,52.76,5866.1,0.34
st27321,15.51,327.83,0.34
st27322,47.93,4058.56,1.35
st27323,10.81,286.89,0.34
st27324,26.23,1149.39,0.34
st27325,5.76,197.17,0.34
st27326,48.62,4315.2,0.34
st27327,27.65,2667.42,0.34
st27328,23.49,752.88,0.34
st27329,56.7,7304.31,1.22
st27330,35.75,1937.17,0.34
st27331,13.9,375.47,0.34
st27332,18.35,841.91,0.34
st27333,11.52,276.77,0.34
st27334,25.91,2522.56,0.34
st27335,19,741.28,0.34
st27336,9.44,273.25,0.34
st27337,31.14,3292.83,1.35
st27338,45.8,5703.04,0.34
st27339,31.09,2341.07,2.13
st27340,34.15,4855.67,1.82
st27341,21.43,413.45,1.22
st27342,35.59,1639.14,2.26
st27343,29.26,1190.66,2.43
st27344,20.95,975.41,2.72
st27345,42.33,2411.69,1.22
st27346,42.87,3306.36,2.13
st27347,37.82,2300.71,1.69
st27348,33.11,2585.44,0.34
st27349,46.15,4845.55,0.34
st27350,17.74,1509.96,0.34
st27351,11.8,187.85,3.77
st27352,47.16,5256.61,2.13
st27353,26.38,2860.73,2.13
st27354,35.85,2219.06,6.03
st27355,11.06,365.01,0.75
st27356,25.68,855.56,0.34
st27357,35.75,1459.13,0.34
st27358,44.7,5948.09,1.69
st27359,40.61,2667.76,5.44
st27360,29.44,2666.85,0.75
st27361,14.31,301.33,6.08
st27362,38.91,1904.77,2.13
st27363,33.72,1205.22,2.88
st27364,18.7,447.79,2.57
st27365,35.74,1952.87,3.2
st27366,26.23,1012.37,1.69
st27367,39.69,2406.8,0.34
st27368,22.42,525,2.02
st27369,29.46,3359.35,1.22
st27370,19.85,360.24,4.4
st27371,36.56,2098.19,4.98
st27372,14.79,238.79,11.85
st27373,45.86,3095.32,2.72
st27374,25.25,1196.92,5.44
st27375,44.64,4490.66,2.02
st27376,23.69,1118.8,3.84
st27377,35.34,2292.06,1.22
st27378,27.52,1662.45,1.82
st27379,60.69,5655.4,1.43
st27380,57.87,3548.11,0.34
st27381,25.85,714.9,3.47
st27382,32.15,2726.89,2.86
st27383,53.39,4336.92,2.78
st27384,53.99,10013.7,1.51
st27385,21.94,746.51,2.72
st27386,28.97,1783.32,4.52
st27387,49.52,2872.9,0.34
st27388,29.44,2086.7,3.47
st27389,34.34,2008.58,4.38
st27390,31.24,1600.82,2.36
st27391,27.19,1011.34,5.14
st27392,13.51,247.78,1.51
st27393,55.55,10911.1,0.34
st27394,51.27,5437.87,3.52
st27395,32.82,2042.58,0.34
st27396,37.48,3628.73,0.34
st27397,17.92,600.73,0.34
st27398,22.26,997.92,0.34
st27399,37.82,2708.36,0.34
st27400,44.56,5590.35,2.05
st27401,31.47,1188.5,1.82
st27402,35.9,1396.48,0.34
st27403,22.26,716.72,2.02
st27404,30.29,1547.26,2.38
st27405,31.99,1144.27,3.03
st27406,25.85,1594.68,1.39
st27407,34.98,1302.44,2.38
st27408,37.15,1502.46,2.45
st27409,41.45,2290.81,2.16
st27410,14.79,247.21,6.74
st27411,34.4,1532.59,2.88
st27412,30.35,1545.1,3.47
st27413,20.51,697.05,3.65
st27414,34.02,1204.31,2.43
st27415,18.1,526.37,0.34
st27416,25.64,1686.56,1.72
st27417,21.08,1250.7,2.78
st27418,27.65,1026.92,3.47
st27419,37.73,2202.12,2.43
st27420,8.79,191.6,0.34
st27421,10.79,234.47,0.34
st27422,22.9,900.02,2.13
st27423,37.59,4987.12,2.36
st27424,23.68,1053.98,1.35
st27425,28.36,1077.29,1.35
st27426,29.86,2665.6,0.34
st27427,36.75,2082.72,1.91
st27428,39.21,2209.97,2.72
st27429,30.23,2403.61,3.34
st27430,46.97,2148.56,1.72
st27431,17.74,702.85,2.57
st27432,42.83,8147.02,1.39
st27433,16.87,664.64,0.34
st27434,20.51,761.29,0.34
st27435,37.73,1906.36,2.63
st27436,36.65,1235.81,1.72
st27437,17.5,833.84,3.71
st27438,32.58,4730.59,4.05
st27439,16.86,342.27,1.35
st27440,33.37,3728.34,2.13
st27441,23.46,1063.54,2.38
st27442,15.74,384.57,2.63
st27443,26.98,1742.5,1.35
st27444,32.55,2255.22,1.72
st27445,17.23,344.88,1.91
st27446,22.09,833.16,2.02
st27447,24.32,889.44,1.82
st27448,24.96,849.99,2.57
st27449,14.81,308.04,4.05
st27450,35.36,1466.64,3.82
st27451,29.01,909.23,3.52
st27452,18.21,683.06,2.38
st27453,44.09,4932.54,0.34
st27454,49.57,8635.98,1.39
st27455,29.63,1364.41,1.39
st27456,24.95,910.48,1.01
st27457,39.88,1420.25,5.89
st27458,43.98,8797.22,2.86
st27459,52.35,3529.12,2.36
st27460,31.09,1277.2,2.88
st27461,37.34,3945.42,1.82
st27462,35.99,3349.35,1.39
st27463,25.28,1097.19,2.05
st27464,25.09,1119.48,0.34
st27465,32.27,1373.17,1.69
st27466,32.63,1347.24,2.88
st27467,25.91,768.57,4.54
st27468,22.93,839.98,5.65
st27469,25.95,694.32,1.39
st27470,36.42,1678.94,2.7
st27471,26.54,1316.31,2.72
st27472,43.21,2644.57,4.05
st27473,35.5,1880.66,1.82
st27474,14.42,282.8,3.84
st27475,24.87,925.15,2.63
st27476,20.98,499.64,1.35
st27477,19,627.46,4.54
st27478,24.1,656.68,9.96
st27479,34.34,2218.38,2.57
st27480,40.61,2340.39,1.07
st27481,45.64,2593.51,3.93
st27482,29.09,879.55,2.45
st27483,14.97,329.76,3.02
st27484,42.96,2813.43,2.88
st27485,30.94,2355.51,1.35
st27486,37.4,1487.56,1.39
st27487,27.19,843.51,2.88
st27488,14.79,241.29,13.35
st27489,27.65,946.64,0.34
st27490,35.97,2753.73,3.44
st27491,32.24,2513.69,3.32
st27492,40.07,2473.32,1.22
st27493,31.21,2513.12,1.07
st27494,25.39,674.99,5.16
st27495,16.42,518.75,1.69
st27496,33.07,2045.88,0.34
st27497,39.4,6631.03,1.35
st27498,52.48,4207.52,1.43
st27499,12.16,211.73,11.03
st27500,62.02,7298.4,6.51
