,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance
st565,46.75,2969.89,1.35
st566,26.71,798.82,21.36
st567,27.73,1027.72,1.22
st568,31.02,2500.15,7.4
st569,83.95,6422.6,1.43
st570,17.65,423,2.16
st571,14.48,193.99,16.24
st572,20.83,440.06,4.38
st573,22.94,557.75,13.27
st574,41.14,2505.27,1.39
st575,60.99,9046.59,1.39
st576,47.77,3530.94,1.22
st577,31.14,1286.07,1.51
st578,34.76,1660.86,2.38
st579,17.02,464.05,10.11
st580,78.89,14622.95,2.26
st581,75.54,10825.7,1.51
st582,22.25,702.5,4.05
st583,45.43,3072.35,7.4
st584,18.12,531.37,1.82
st585,62.85,3998.29,1.35
st586,33.37,1454.47,1.39
st587,24.02,576.51,3.63
st588,34.67,1104.81,1.69
st589,36.05,1463,1.43
st590,45.27,2225.09,3.77
st591,36.69,2333.45,1.69
st592,39.94,2923.04,1.35
st593,62.7,7323.87,1.01
st594,45,3220.85,2.26
st595,22.94,2154.47,1.91
st596,37.15,1745.34,1.43
st597,24.02,1087.64,1.91
st598,36.3,1563.63,2.45
st599,10.53,238.91,2.13
st600,20.78,678.28,8.15
st601,20.69,526.25,1.35
st602,63.89,8615.74,0.95
st603,13.09,208.89,0.34
st604,81.07,8951.18,0.95
st605,74.95,5996.53,2.45
st606,28.61,939.25,10.58
st607,30.14,1473.46,2.7
st608,47.67,2854.36,1.82
st609,29.56,1415.92,3.18
st610,51.5,3874.35,2.02
st611,50.55,2780.22,2.02
st612,52.47,4780.51,3.18
st613,27.09,841.46,1.69
st614,37.7,2089.89,0.75
st615,56.53,6645.36,0.48
st616,16.31,486.8,3.82
st617,62.06,10109.21,1.39
st618,17.65,312.82,1.91
st619,27.81,852.49,1.82
st620,31.61,1519.51,0.95
st621,69.62,5151.43,1.35
st622,22.33,795.97,2.72
st623,12.97,378.09,3.32
st624,42.68,2791.37,1.82
st625,15.26,293.37,7.15
st626,33.57,2246.58,0.34
st627,65.09,5697.58,1.35
st628,67.38,10465.47,0.95
st629,46.41,2278.08,3.95
st630,61.46,5545.78,2.72
st631,66.93,4419.02,1.51
st632,27.05,1462.2,2.36
st633,17.06,376.5,2.88
st634,37.79,4721.38,10.32
st635,21.43,524.89,6.83
st636,32.91,1591.72,1.69
st637,21.96,527.05,2.88
st638,22.42,965.06,1.69
st639,28.37,903.2,2.36
st640,72.01,4788.47,1.39
st641,66.51,5357.47,2.36
st642,11.52,213.21,0.34
st643,43.02,1926.14,2.36
st644,54.5,6429.54,1.69
st645,38.31,1555.45,11.84
st646,74.26,8206.38,0.34
st647,14.34,536.83,0.34
st648,24.43,616.08,0.34
st649,35.3,1631.63,2.36
st650,52.56,3092.7,2.36
st651,35.05,1478.47,0.95
st652,12.96,187.74,2.38
st653,17.4,344.2,5.49
st654,29.44,876.94,1.22
st655,32.41,1126.76,4.86
st656,13.49,191.03,7.4
st657,32.44,1220.57,11.84
st658,26.23,1554.76,2.72
st659,26.27,1189.19,3.02
st660,58.56,8015.23,1.69
st661,21.11,538.08,0.95
st662,14.31,250.39,17.53
st663,28.31,973.14,7.28
st664,43.25,2920.2,4.86
st665,37.59,2864.14,1.22
st666,62.84,4484.06,3.44
st667,14.79,249.59,7.28
st668,18.9,381.39,1.35
st669,61.56,6326.17,1.22
st670,12.96,284.28,36.32
st671,19,585.5,0.34
st672,23.26,807.57,0.34
st673,23.29,1027.72,7.63
st674,25.42,629.05,9.06
st675,21.18,388.78,2.38
st676,20.91,453.59,10.73
st677,12.96,224.92,6.63
st678,13.57,237.09,3.32
st679,19.57,483.27,5.44
st680,34.39,1547.49,1.97
st681,16.46,559.11,22.18
st682,45.86,2635.13,2.43
st683,30.54,4129.17,1.69
st684,32.48,1105.95,3.11
st685,47.12,4756.06,0.34
st686,28.61,761.29,6.63
st687,24.44,661.68,4.68
st688,25.85,593.46,3.11
st689,29.38,942.21,7.63
st690,19.31,382.52,21.23
st691,32.27,1315.63,8.77
st692,13.03,191.83,3.44
st693,12.16,188.53,9.33
st694,69.19,7907.78,0.95
st695,10.79,204.91,13.76
st696,58.89,7071.55,0.67
st697,21.11,422.66,15.74
st698,29.63,1432.98,11.41
st699,53.41,3707.19,1.35
st700,64.13,4149.75,0.67
st701,30.35,1377.38,1.35
st702,57.8,5059.1,1.35
st703,29.12,1235.92,7.58
st704,57.23,5508.71,1.35
st705,67.83,8695.68,0.34
st706,13.3,200.24,13.76
st707,34.24,1571.37,7.58
st708,22.27,719.22,1.22
st709,56.4,2933.96,1.01
st710,27.45,919.01,11.41
st711,27.52,1626.97,8.77
st712,22.09,503.06,1.69
st713,23.02,803.82,12.27
st714,14.03,221.51,1.22
st715,37.97,2127.3,1.22
st716,24.51,828.04,10.41
st717,25.85,820.31,1.22
st718,28.46,1170.54,0.34
st719,23.9,509.2,2.72
st720,57.74,5768.88,2.72
st721,33.48,1160.3,14.52
st722,29.67,1096.85,10.41
st723,47.84,3201.75,0.34
st724,18.93,444.15,0.34
st725,30.43,2706.88,24.51
st726,44.53,2437.27,2.72
st727,16.53,307.13,2.38
st728,34.98,1546.92,1.82
st729,68.12,12938.1,1.69
st730,29.63,932.2,4.77
st731,21.18,797.79,8.44
st732,13.57,186.6,1.69
st733,25.63,2058.84,0.95
st734,30.14,1642.44,1.97
st735,41.69,2375.07,1.22
st736,34.84,1274.24,4.12
st737,11.95,251.53,5.06
st738,30.58,1283.79,2.57
st739,20.12,585.5,6.92
st740,75.72,6279.33,1.69
st741,29.74,1194.76,1.82
st742,24.28,577.99,18.16
st743,24.87,612.9,5.15
st744,32.44,1071.61,4.72
st745,20.39,447.68,4.77
st746,17.59,885.46,0.34
st747,27.45,1475.96,2.36
st748,34.45,1090.14,2.63
st749,59.75,5739.31,1.51
st750,18.22,382.86,1.22
st751,18.22,456.66,3.93
st752,26.19,873.75,8.33
st753,26.06,1482.56,5.15
st754,18.52,476.22,3.34
st755,29.93,889.56,3.71
st756,37.59,1882.93,9.3
st757,17.34,334.76,5.44
st758,56.4,9338.37,1.22
st759,64.61,4931.06,1.39
st760,16.33,316.23,16.39
st761,63.13,5498.93,1.51
st762,25.64,656.22,4.52
st763,29.01,1981.98,1.69
st764,16.24,293.94,22.13
st765,10.12,424.25,9.45
st766,66.78,12149.52,1.39
st767,73.78,12478.71,0.34
st768,33.78,1113,8.67
st769,22.3,480.77,9.17
st770,22.05,525.8,5.89
st771,71.54,5680.98,1.51
st772,78.73,11959.4,2.45
st773,19.56,834.41,7.76
st774,27.95,907.98,26.3
st775,41.14,3145.35,2.16
st776,31.99,1244.11,5.89
st777,13.28,221.05,7.76
st778,35.84,2166.53,1.35
st779,56.3,4854.42,1.22
st780,44.54,2257.72,0.34
st781,55.72,3925.74,1.82
st782,13.09,421.07,0.34
st783,56.56,7146.03,0.95
st784,73.7,9894.19,2.05
st785,70.89,13997.09,1.82
st786,26.27,1183.5,1.01
st787,27.15,856.58,1.35
st788,42.77,2011.09,0.34
st789,72.54,5974.01,1.35
st790,37.59,1771.84,1.91
st791,31.7,1189.87,1.35
st792,32.62,1825.28,1.01
st793,15.99,387.3,2.02
st794,48.89,5177.93,1.72
st795,15.73,363.19,13.12
st796,33.57,1185.66,6.83
st797,46.92,3150.92,2.88
st798,32.58,1400.57,4.38
st799,29.38,1051.82,7.89
st800,30.08,879.89,1.91
st801,39.81,2023.59,5.44
st802,23.28,513.52,11.64
st803,52.48,5372.83,1.69
st804,24.73,755.95,3.82
st805,26.88,742.64,5.4
st806,72.09,8237.76,1.43
st807,70.47,10296.83,2.02
st808,54.99,5948.88,1.72
st809,66.77,6531.76,1.69
st810,18.32,587.66,0.34
st811,31.95,1817.21,8.15
st812,34.98,2021.21,11.48
st813,39.58,2033.26,10.73
st814,26.85,988.03,6.08
st815,59.12,4473.94,2.13
st816,57.94,4383.54,2.02
st817,18,436.31,31.59
st818,26.19,736.73,1.22
st819,35.44,1726.92,0.48
st820,27.45,1029.42,1.69
st821,26.03,589.25,12.69
st822,54.43,3885.38,1.43
st823,30.47,1174.06,2.43
st824,76.33,7104.07,1.43
st825,18.56,486.57,1.69
st826,36.65,1663.59,2.88
st827,50.13,2583.73,2.43
st828,29.87,1162.01,0.75
st829,21.72,567.87,4.4
st830,14.93,368.76,6.75
st831,18.6,434.49,2.72
st832,48.22,3519.23,1.97
st833,9.96,234.81,26.49
st834,37.7,1926.03,11.69
st835,59.49,3558.35,1.97
st836,14.79,205.02,5.16
st837,63.97,4640.53,1.91
st838,19.6,600.39,4.83
st839,30.29,1397.16,9.11
st840,59.81,4179.77,4.77
st841,12.38,259.37,10.12
st842,12.14,177.39,3.52
st843,18.81,1048.18,5.65
st844,20.21,443.02,4.83
st845,31.81,956.65,5.16
st846,53.01,5804.81,1.43
st847,11.22,217.19,15.08
st848,28.37,1054.67,2.02
st849,24.82,650.99,9.11
st850,16.86,277.23,5.33
st851,56.4,10645.36,1.82
st852,16.24,256.87,4.83
st853,24.18,1420.02,2.57
st854,41.34,2378.26,0.34
st855,19.56,545.01,11.33
st856,17.4,691.7,16.8
st857,66.75,5963.21,1.72
st858,53.42,2884.84,1.91
st859,37.68,1283.45,10.49
st860,35.54,1834.49,4.06
st861,67.26,5270.26,1.43
st862,30.3,1216.36,3.37
st863,26.19,822.01,0.34
st864,31.38,1181.11,4.52
st865,18.21,322.03,11.81
st866,82.41,6189.38,2.16
st867,22.26,651.11,9.55
st868,33.21,1164.62,24.32
st869,19.6,447.45,2.38
st870,45.32,4828.61,1.35
st871,54.81,2899.73,3.32
st872,33.83,2779.88,3.03
st873,52.83,3366.4,0.34
st874,23.6,573.67,11.47
st875,17.19,273.93,11.41
st876,84.3,6943.85,2.16
st877,60.12,9207.6,2.78
st878,18.21,477.58,6.36
st879,20.91,455.64,1.35
st880,14.84,245.5,1.35
st881,34.02,1184.64,11.84
st882,22.94,964.15,1.43
st883,20.51,457.12,6.74
st884,16.19,853.17,4.7
st885,84.69,12203.76,5.01
st886,75.08,6680.27,1.01
st887,31.44,1206.58,2.16
st888,27.33,2206.33,3.03
st889,60.27,4024.33,0.34
st890,18,317.48,4.38
st891,18.99,501.8,13.66
st892,37.09,1470.51,1.01
st893,13.39,326.69,6.74
st894,17.55,440.74,12.84
