Unnamed: 0,cell_type,sampleID,status
st119,5,VALIGA_mhnhhiaij6,<30
st120,6,VALIGA_mhnhhiaij6,<30
st121,4,VALIGA_mhnhhiaij6,<30
st122,10,VALIGA_mhnhhiaij6,<30
st123,10,VALIGA_mhnhhiaij6,<30
st124,5,VALIGA_mhnhhiaij6,<30
st125,6,VALIGA_mhnhhiaij6,<30
st126,0,VALIGA_mhnhhiaij6,<30
st127,12,VALIGA_mhnhhiaij6,<30
st128,5,VALIGA_mhnhhiaij6,<30
st129,12,VALIGA_mhnhhiaij6,<30
st130,5,VALIGA_mhnhhiaij6,<30
st131,1,VALIGA_mhnhhiaij6,<30
st132,8,VALIGA_mhnhhiaij6,<30
st133,2,VALIGA_mhnhhiaij6,<30
st134,8,VALIGA_mhnhhiaij6,<30
st135,2,VALIGA_mhnhhiaij6,<30
st136,2,VALIGA_mhnhhiaij6,<30
st137,5,VALIGA_mhnhhiaij6,<30
st138,11,VALIGA_mhnhhiaij6,<30
st139,12,VALIGA_mhnhhiaij6,<30
st140,5,VALIGA_mhnhhiaij6,<30
st141,0,VALIGA_mhnhhiaij6,<30
st142,12,VALIGA_mhnhhiaij6,<30
st143,5,VALIGA_mhnhhiaij6,<30
st144,4,VALIGA_mhnhhiaij6,<30
st145,3,VALIGA_mhnhhiaij6,<30
st146,5,VALIGA_mhnhhiaij6,<30
st147,0,VALIGA_mhnhhiaij6,<30
st148,6,VALIGA_mhnhhiaij6,<30
st149,12,VALIGA_mhnhhiaij6,<30
st150,9,VALIGA_mhnhhiaij6,<30
st151,5,VALIGA_mhnhhiaij6,<30
st152,6,VALIGA_mhnhhiaij6,<30
st153,5,VALIGA_mhnhhiaij6,<30
st154,1,VALIGA_mhnhhiaij6,<30
st155,5,VALIGA_mhnhhiaij6,<30
st156,6,VALIGA_mhnhhiaij6,<30
st157,5,VALIGA_mhnhhiaij6,<30
st158,4,VALIGA_mhnhhiaij6,<30
st159,8,VALIGA_mhnhhiaij6,<30
st160,3,VALIGA_mhnhhiaij6,<30
st161,10,VALIGA_mhnhhiaij6,<30
st162,6,VALIGA_mhnhhiaij6,<30
st163,6,VALIGA_mhnhhiaij6,<30
st164,4,VALIGA_mhnhhiaij6,<30
st165,1,VALIGA_mhnhhiaij6,<30
st166,1,VALIGA_mhnhhiaij6,<30
st167,8,VALIGA_mhnhhiaij6,<30
st168,9,VALIGA_mhnhhiaij6,<30
st169,8,VALIGA_mhnhhiaij6,<30
st170,4,VALIGA_mhnhhiaij6,<30
st171,3,VALIGA_mhnhhiaij6,<30
st172,12,VALIGA_mhnhhiaij6,<30
st173,2,VALIGA_mhnhhiaij6,<30
st174,8,VALIGA_mhnhhiaij6,<30
st175,9,VALIGA_mhnhhiaij6,<30
st176,10,VALIGA_mhnhhiaij6,<30
