,glom_sizes,glom_diameters,glom_distance_to_closest_glom,glom_shape_circularity,glom_shape_eccentricity,glom_shape_elongation,glom_shape_solidity,glom_tuft_sizes,glom_tuft_shape_circularity,glom_tuft_shape_eccentricity,glom_tuft_shape_elongation,glom_tuft_shape_solidity,glom_bowman_sizes,glom_tufttocapsule_ratio
st11777,24916.15,157.38,79.23,0.81,0.63,0.22,0.99,14784.54,0.3,0.77,0.36,0.85,10131.61,0.593371768912934
st11778,11014.35,103.19,79.23,0.56,0.39,0.08,0.95,1527.59,0.45,0.47,0.12,0.88,9486.76,0.138690889612188
st11779,7161.15,82.61,220.05,0.7,0.66,0.25,0.96,2703.47,0.17,0.72,0.3,0.82,4457.68,0.377518973907822
st11780,6056.34,66.66,892.81,0.69,0.8,0.4,0.96,1324.16,0.35,0.5,0.14,0.9,4732.18,0.218640300907809
st11781,22625.22,116.46,347.19,0.59,0.84,0.45,0.94,15812.37,0.48,0.81,0.42,0.93,6812.86,0.698882486004556
st11782,9566.47,85.41,347.19,0.63,0.78,0.38,0.96,5760.58,0.65,0.83,0.44,0.95,3805.89,0.602163598485126
st11783,32479.04,185.09,378.53,0.8,0.45,0.1,0.98,26432.37,0.37,0.51,0.14,0.92,6046.67,0.813828549119678
st11784,10160.5,101.94,262.58,0.7,0.52,0.15,0.97,3583.02,0.42,0.43,0.1,0.85,6577.48,0.352642094385119
st11785,17952.74,112.86,149.26,0.46,0.83,0.44,0.95,11866.95,0.42,0.85,0.47,0.9,6085.79,0.661010519842654
st11786,26145.02,160.72,333.68,0.59,0.41,0.09,0.96,18607.49,0.34,0.35,0.06,0.91,7537.53,0.711703031781961
st11787,9109.13,79.1,51.63,0.44,0.87,0.52,0.94,4555.13,0.41,0.9,0.56,0.89,4554,0.500062025681926
st11788,39428.8,184.89,181.35,0.64,0.31,0.05,0.96,28917.97,0.35,0.46,0.11,0.93,10510.84,0.733422523637544
st11789,33257.05,163.08,51.63,0.5,0.74,0.32,0.93,26735.86,0.41,0.66,0.25,0.91,6521.19,0.803915560760801
st11790,34873.79,187.6,181.35,0.79,0.19,0.02,0.98,23608.93,0.3,0.58,0.18,0.89,11264.85,0.676982054431136
st11791,25673.92,156.39,242.07,0.75,0.58,0.19,0.97,18829.22,0.39,0.55,0.16,0.9,6844.69,0.733398717453353
st11792,8830.65,86.54,747.85,0.55,0.67,0.26,0.95,443.24,0.5,0.76,0.35,0.84,8387.41,0.050193360624643
st11793,15206.97,102.15,758.75,0.54,0.85,0.47,0.95,6591.01,0.15,0.92,0.6,0.69,8615.96,0.433420332913131
st11794,33292.87,172.19,92.69,0.51,0.49,0.13,0.92,25380.09,0.34,0.48,0.12,0.86,7912.78,0.762328090068534
st11795,66043.45,177.98,106.2,0.38,0.79,0.38,0.88,43571.39,0.15,0.83,0.44,0.76,22472.05,0.659738248077591
st11796,7446.57,83.57,274.44,0.29,0.4,0.08,0.84,4319.3,0.39,0.52,0.15,0.85,3127.27,0.580038863530458
st11797,27380.94,167.73,83.07,0.81,0.6,0.2,0.99,16804.83,0.34,0.74,0.33,0.88,10576.11,0.613741894909379
st11798,8888.53,86.42,83.07,0.67,0.52,0.14,0.95,2923.39,0.22,0.86,0.49,0.69,5965.14,0.32889465412166
st11799,9039.08,85.42,228.26,0.48,0.62,0.22,0.94,4363.19,0.37,0.68,0.26,0.87,4675.89,0.482702885691907
st11800,6909.51,72.46,899.39,0.69,0.78,0.38,0.96,2531.08,0.55,0.74,0.32,0.91,4378.43,0.366318306218531
st11801,11128.63,88.68,336.47,0.58,0.83,0.45,0.97,7216.07,0.55,0.82,0.43,0.94,3912.55,0.648423929989585
st11802,20201.94,104.92,336.47,0.59,0.88,0.52,0.93,13687.34,0.36,0.86,0.49,0.88,6514.59,0.677526019778299
st11803,30810.68,179.44,386.34,0.74,0.5,0.13,0.97,25969.56,0.44,0.54,0.16,0.93,4841.11,0.842875262733572
st11804,18677.08,117.47,163.36,0.44,0.82,0.43,0.95,13319.26,0.45,0.82,0.43,0.9,5357.82,0.713133958841532
st11805,15337.06,128.79,246.31,0.79,0.45,0.11,0.98,7967.25,0.38,0.52,0.14,0.89,7369.81,0.519477005371303
st11806,27380.03,168.49,348.23,0.54,0.46,0.11,0.95,19315.79,0.48,0.22,0.03,0.94,8064.24,0.705470008615769
st11807,7330.81,66.77,61.86,0.45,0.89,0.54,0.94,3255.76,0.3,0.87,0.51,0.86,4075.05,0.444120090412928
st11808,30755.19,159.88,61.86,0.47,0.72,0.3,0.93,23431.09,0.33,0.63,0.23,0.88,7324.1,0.761858079888305
st11809,38024.25,189.37,188.2,0.6,0.26,0.03,0.96,28420.94,0.4,0.46,0.11,0.91,9603.31,0.74744248736004
st11810,29501.42,172.28,188.2,0.69,0.34,0.06,0.97,19909.47,0.32,0.55,0.17,0.89,9591.94,0.674864803117952
st11811,20671.67,147.37,249.21,0.74,0.39,0.08,0.97,15825.56,0.45,0.28,0.04,0.94,4846.12,0.76556756178867
st11812,14497.53,94.81,756.53,0.46,0.85,0.47,0.95,7105.09,0.28,0.92,0.61,0.79,7392.44,0.490089691140491
st11813,30753.71,150.2,95.25,0.45,0.67,0.26,0.96,22396.21,0.33,0.74,0.33,0.9,8357.5,0.728244169565233
st11814,67780.83,181.3,107.39,0.39,0.8,0.4,0.88,41605.22,0.13,0.84,0.46,0.72,26175.61,0.613819866177502
st11815,29200.65,172.52,115.1,0.83,0.58,0.18,0.99,19357.98,0.41,0.66,0.25,0.92,9842.67,0.662929763549784
st11816,9452.65,84.37,267.3,0.43,0.51,0.14,0.91,3103.05,0.12,0.85,0.47,0.66,6349.6,0.328273023966824
st11817,12320.09,97.66,182.44,0.61,0.61,0.21,0.94,6504.36,0.29,0.52,0.14,0.87,5815.73,0.527947441942388
st11818,8072.54,79.96,387.91,0.72,0.76,0.35,0.97,3855.36,0.49,0.76,0.35,0.9,4217.18,0.477589457593273
st11819,4494.3,67.86,387.91,0.65,0.51,0.14,0.96,637.8,0.31,0.8,0.4,0.74,3856.49,0.141913089913891
st11820,21690.86,110.45,331.81,0.57,0.86,0.48,0.93,14922.47,0.39,0.84,0.45,0.91,6768.4,0.687961196559288
st11821,10610.22,89.65,331.81,0.53,0.79,0.39,0.96,6683.11,0.51,0.81,0.41,0.92,3927.11,0.629874781107272
st11822,31298.5,180.56,386.18,0.79,0.41,0.09,0.97,26010.61,0.44,0.48,0.12,0.92,5287.88,0.831049730817771
st11823,12435.62,113.7,251.56,0.76,0.53,0.15,0.98,5889.3,0.54,0.48,0.12,0.9,6546.32,0.473583142617738
st11824,17407.38,113.38,162.21,0.51,0.8,0.4,0.95,11823.85,0.37,0.78,0.38,0.89,5583.53,0.679243516255749
st11825,26571.09,165.4,334.1,0.63,0.38,0.07,0.97,18909.84,0.5,0.2,0.02,0.95,7661.25,0.711669713210862
st11826,8031.72,73.04,54.59,0.52,0.87,0.52,0.95,3893.22,0.41,0.9,0.57,0.9,4138.5,0.484730543395437
st11827,38319.67,189.78,184.58,0.53,0.25,0.03,0.95,28396.72,0.36,0.47,0.12,0.93,9922.95,0.741048135331019
st11828,30693.9,162.82,54.59,0.48,0.72,0.31,0.93,24504.63,0.32,0.66,0.25,0.89,6189.27,0.798355047745643
st11829,32278.68,180.44,184.58,0.78,0.24,0.03,0.98,21420.23,0.32,0.54,0.16,0.88,10858.45,0.663603034572665
st11830,23622.12,149.38,244.14,0.73,0.57,0.18,0.95,17563.96,0.37,0.49,0.13,0.9,6058.16,0.743538683234189
st11831,14451.82,95.23,761.67,0.46,0.87,0.51,0.94,6340.73,0.23,0.92,0.61,0.72,8111.09,0.438749583097492
st11832,31134.75,165.91,107.11,0.68,0.64,0.23,0.97,22821.94,0.28,0.73,0.31,0.89,8312.81,0.733005403929693
st11833,66240.85,184.2,107.11,0.43,0.79,0.39,0.89,39865.91,0.13,0.84,0.46,0.71,26374.94,0.601832705951086
st11834,8202.51,89.18,276.45,0.56,0.43,0.1,0.91,4838.27,0.28,0.49,0.13,0.85,3364.24,0.589852374456112
st11835,27404.93,164.92,89.12,0.81,0.61,0.2,0.98,17746.58,0.33,0.7,0.29,0.9,9658.35,0.647568886328117
st11836,9927.62,90.16,227.23,0.67,0.65,0.24,0.93,5625.38,0.5,0.65,0.24,0.89,4302.24,0.566639335510424
st11837,7448.84,75.57,890.27,0.73,0.79,0.38,0.97,2970.8,0.6,0.81,0.41,0.92,4478.04,0.398827199939856
st11838,24113.01,133.56,493.77,0.51,0.71,0.29,0.95,17821.52,0.25,0.74,0.33,0.89,6291.49,0.739083175431023
st11839,32514.52,174.96,495.99,0.63,0.66,0.25,0.96,25509.04,0.42,0.6,0.2,0.94,7005.48,0.784543028776067
st11840,22218.48,144.12,358.06,0.56,0.59,0.2,0.95,14769.53,0.32,0.64,0.23,0.86,7448.95,0.664740792349432
st11841,12384.11,85.97,9.33,0.4,0.88,0.52,0.87,7958.49,0.46,0.85,0.48,0.87,4425.62,0.642637218177164
st11842,11354.46,105.95,289.64,0.67,0.62,0.22,0.97,5871.1,0.31,0.61,0.21,0.85,5483.35,0.517074347877398
st11843,7370.27,83.07,9.33,0.48,0.37,0.07,0.92,769.02,0.42,0.89,0.54,0.83,6601.24,0.104340817907621
st11844,8673.05,75.54,62.4,0.45,0.84,0.46,0.95,5543.05,0.41,0.89,0.55,0.9,3130,0.639111961766622
st11845,31144.31,169.04,170.93,0.68,0.58,0.19,0.96,23864.44,0.29,0.49,0.13,0.91,7279.87,0.766253611012734
st11846,25863.13,124.77,62.4,0.62,0.88,0.52,0.97,21640.49,0.56,0.84,0.46,0.96,4222.64,0.836731285037813
st11847,35002.51,182.07,170.93,0.65,0.46,0.11,0.94,25910.78,0.37,0.53,0.15,0.91,9091.73,0.740254913147657
st11848,25277.41,156.84,239.58,0.69,0.26,0.04,0.97,20736.72,0.46,0.13,0.01,0.95,4540.69,0.820365694111857
st11849,6494.81,58.92,632.46,0.17,0.86,0.48,0.76,1977.54,0.6,0.47,0.12,0.89,4517.27,0.304480038677036
st11850,16158.73,130.84,211.64,0.66,0.38,0.07,0.96,6390.31,0.23,0.57,0.18,0.79,9768.42,0.395471054965335
st11851,28547.27,156.55,109.19,0.7,0.68,0.27,0.97,21440.47,0.36,0.73,0.32,0.92,7106.8,0.751051501597175
st11852,58312.83,165.98,109.19,0.44,0.74,0.32,0.89,42131.36,0.2,0.73,0.32,0.79,16181.47,0.722505836194196
st11853,15533.21,110.09,37.7,0.63,0.76,0.35,0.97,9553.05,0.28,0.76,0.35,0.85,5980.15,0.61500810199566
st11854,20518.96,143.46,37.7,0.48,0.46,0.11,0.93,11591.43,0.22,0.37,0.07,0.85,8927.53,0.564913133998994
st11855,35662.25,98.74,699.78,0.06,0.97,0.77,0.63,24884.77,0.07,0.98,0.82,0.61,10777.49,0.697790240380234
st11856,28804.6,158.6,255.97,0.56,0.72,0.31,0.96,21924.42,0.44,0.72,0.3,0.93,6880.17,0.761143011880047
st11857,43425.96,209.42,213.81,0.76,0.6,0.2,0.98,26722.21,0.52,0.64,0.23,0.95,16703.74,0.61535104808276
st11858,17441.61,130.84,213.81,0.39,0.46,0.11,0.89,8458.36,0.27,0.38,0.07,0.88,8983.25,0.484952937257512
st11859,20153.72,117.1,376.2,0.49,0.78,0.38,0.91,11192.31,0.2,0.85,0.48,0.8,8961.42,0.555347102172701
st11860,18618.18,126.32,235.17,0.47,0.7,0.29,0.88,1931.72,0.23,0.92,0.6,0.81,16686.46,0.103754502319776
st11861,18655.47,137.75,235.17,0.64,0.46,0.11,0.96,7235.4,0.38,0.66,0.25,0.88,11420.07,0.387843351038596
st11862,38009.58,142.58,252.68,0.25,0.71,0.29,0.81,23141.81,0.19,0.83,0.44,0.75,14867.77,0.608841507851442
st11863,35664.19,140.07,503.52,0.54,0.89,0.55,0.92,25685.52,0.25,0.9,0.56,0.85,9978.67,0.720204776836373
st11864,49879.6,223.74,591.98,0.55,0.46,0.11,0.96,30294.32,0.42,0.52,0.15,0.9,19585.28,0.60734889614191
st11865,27618.48,151.8,262.69,0.45,0.71,0.3,0.92,20034.67,0.45,0.75,0.34,0.92,7583.81,0.725408132525758
st11866,42610.77,212.47,234.7,0.66,0.57,0.18,0.98,26234.85,0.53,0.63,0.23,0.96,16375.92,0.61568589349594
st11867,14666.96,124.77,234.7,0.57,0.45,0.11,0.95,6873.35,0.3,0.41,0.09,0.84,7793.61,0.468628127437451
st11868,17157.22,109.24,390.85,0.56,0.79,0.38,0.93,10503.11,0.2,0.86,0.48,0.81,6654.12,0.612168521473759
st11869,17352.12,124.09,266.73,0.56,0.7,0.28,0.95,1276.06,0.22,0.61,0.21,0.77,16076.06,0.073539141038674
st11870,21897.82,146.35,250.19,0.72,0.6,0.2,0.97,7555.04,0.34,0.59,0.2,0.89,14342.77,0.345013339227375
st11871,48199.07,170.6,250.19,0.27,0.48,0.12,0.83,26285.57,0.11,0.48,0.12,0.67,21913.51,0.545354298329823
st11872,30915.86,122.67,506.22,0.44,0.91,0.58,0.92,21891.45,0.2,0.9,0.57,0.81,9024.41,0.70809772071681
st11873,51166.35,225.98,571.83,0.71,0.4,0.08,0.97,28227.97,0.35,0.39,0.08,0.84,22938.38,0.551690124466568
st11874,5129.14,64.96,571.83,0.34,0.63,0.22,0.86,2096.48,0.37,0.59,0.19,0.83,3032.66,0.408739086864465
st11875,6670.83,55.3,832.86,0.19,0.91,0.59,0.69,3742.1,0.39,0.58,0.18,0.88,2928.73,0.560964677558864
st11876,24733.76,142.77,264.83,0.68,0.75,0.34,0.96,18480.47,0.51,0.78,0.37,0.93,6253.29,0.747175924727983
st11877,42324.56,209.67,234.68,0.81,0.61,0.21,0.99,26053.03,0.54,0.63,0.22,0.96,16271.53,0.615553475334416
st11878,11094.97,105.18,234.68,0.63,0.42,0.09,0.95,5310.63,0.36,0.55,0.17,0.83,5784.34,0.478652037815334
st11879,14872.66,98.2,409.46,0.48,0.87,0.51,0.9,7861.04,0.24,0.89,0.55,0.73,7011.62,0.528556425010724
st11880,16688.73,121.41,264.37,0.59,0.71,0.29,0.95,579.13,0.21,0.85,0.47,0.81,16109.61,0.034701861675514
st11881,23192.18,150.04,250.66,0.63,0.5,0.13,0.96,8149.18,0.32,0.66,0.25,0.82,15043,0.351376196631796
st11882,21469.35,89.23,250.66,0.06,0.69,0.28,0.63,6294.11,0.33,0.69,0.27,0.87,15175.25,0.293167236083067
st11883,24424.92,93.98,511.66,0.34,0.95,0.68,0.83,15453.84,0.16,0.96,0.71,0.75,8971.08,0.632707906515149
st11884,54605.98,226.44,546.96,0.51,0.45,0.11,0.95,35404.25,0.21,0.39,0.08,0.86,19201.74,0.648358476489205
st11885,7765.3,84.46,546.96,0.54,0.54,0.16,0.93,2799.1,0.26,0.67,0.26,0.82,4966.2,0.360462570666941
st11886,2859.48,48.3,399.38,0.32,0.67,0.26,0.86,574.01,0.71,0.38,0.08,0.96,2285.47,0.20073929525648
st11887,22422.93,133.92,163.96,0.63,0.78,0.37,0.95,16083.23,0.45,0.83,0.44,0.91,6339.71,0.717267101132635
st11888,41061.69,208.15,240.27,0.82,0.56,0.17,0.99,24393.99,0.55,0.61,0.21,0.95,16667.7,0.594081490557257
st11889,9130.05,87.17,240.27,0.57,0.48,0.12,0.95,2829.57,0.24,0.67,0.26,0.77,6300.48,0.309918346558891
st11890,14292.62,92.45,423.72,0.37,0.91,0.59,0.87,6816.38,0.43,0.86,0.49,0.9,7476.24,0.476916058777187
st11891,16853.73,120.07,264.72,0.61,0.69,0.27,0.95,929.36,0.19,0.63,0.23,0.77,15924.37,0.055142689481794
st11892,21569.76,152.7,243.23,0.68,0.42,0.09,0.97,8753.78,0.34,0.64,0.23,0.83,12815.98,0.405835762660317
st11893,38603.27,146.04,243.23,0.26,0.75,0.34,0.82,22822.97,0.18,0.67,0.26,0.73,15780.3,0.591218567753457
st11894,3690.14,47.33,80.59,0.48,0.43,0.1,0.92,946.98,0.26,0.79,0.38,0.78,2743.15,0.256624409913987
st11895,7181.05,79.05,80.59,0.46,0.41,0.09,0.86,5002.81,0.27,0.52,0.14,0.84,2178.24,0.69666831452225
st11896,55672.36,229.5,126.33,0.44,0.4,0.08,0.92,38626.69,0.24,0.33,0.05,0.86,17045.67,0.693821673807254
st11897,9276.62,89.55,520.23,0.43,0.54,0.16,0.91,4121.1,0.35,0.39,0.08,0.83,5155.52,0.444245856788356
st11898,3201.07,47.1,5.01,0.33,0.68,0.26,0.85,623.82,0.3,0.75,0.33,0.82,2577.25,0.194878587472314
st11899,2953.63,47.21,5.01,0.37,0.65,0.24,0.84,403.79,0.21,0.84,0.46,0.8,2549.85,0.136709743603633
st11900,13217.95,81.21,103.66,0.18,0.86,0.49,0.87,7704.69,0.12,0.93,0.64,0.7,5513.26,0.582895986140059
st11901,21256.72,129.39,170.97,0.5,0.76,0.35,0.93,13296.75,0.29,0.84,0.45,0.88,7959.97,0.625531596596276
st11902,40763.54,210.03,257.55,0.76,0.52,0.15,0.99,24798.23,0.56,0.58,0.18,0.95,15965.31,0.608343387252432
st11903,5561.36,69.02,257.55,0.38,0.57,0.18,0.93,1361.8,0.33,0.53,0.15,0.84,4199.56,0.244868161744609
st11904,12983.36,88.78,427.37,0.53,0.89,0.55,0.96,7378.79,0.51,0.86,0.48,0.91,5604.57,0.568326688931063
st11905,16416.74,112.86,264.55,0.65,0.69,0.28,0.95,531.48,0.29,0.82,0.43,0.86,15885.25,0.032374271627619
st11906,21804.69,131.35,245.43,0.51,0.47,0.12,0.93,10746.11,0.31,0.61,0.2,0.87,11058.58,0.492834798385118
st11907,40687.13,138.06,245.43,0.1,0.57,0.18,0.75,22757.47,0.09,0.57,0.18,0.61,17929.66,0.559328465782669
st11908,57607.83,227.72,127.44,0.54,0.44,0.1,0.93,42780.31,0.26,0.39,0.08,0.87,14827.52,0.742612766354851
st11909,12460.18,104.59,524.54,0.39,0.61,0.2,0.92,6344.25,0.36,0.75,0.34,0.86,6115.92,0.509161986423952
st11910,27574.13,165.54,236.42,0.8,0.53,0.15,0.98,20894.89,0.39,0.51,0.14,0.9,6679.25,0.757771505392917
st11911,6913.6,76.64,260.31,0.58,0.62,0.21,0.93,4007.16,0.45,0.48,0.12,0.9,2906.44,0.579605415413099
st11912,11304.88,89.21,51.89,0.54,0.62,0.21,0.9,2926,0.11,0.77,0.36,0.58,8378.88,0.258826276793739
st11913,11816.24,106.86,178.41,0.79,0.58,0.19,0.97,8056.51,0.51,0.6,0.2,0.9,3759.73,0.681816720039539
st11914,15504.78,124.67,160.61,0.56,0.43,0.1,0.95,9577.62,0.36,0.37,0.07,0.9,5927.16,0.617720470719352
st11915,9475.05,91.53,18.6,0.58,0.64,0.23,0.92,3369.47,0.34,0.38,0.07,0.85,6105.58,0.355615009947177
st11916,4969.95,65.64,109.94,0.54,0.62,0.22,0.91,2345.05,0.38,0.25,0.03,0.87,2624.9,0.471845793217236
st11917,23577.78,146.13,160.61,0.68,0.54,0.16,0.95,16743.43,0.39,0.3,0.05,0.91,6834.35,0.710135983964563
st11918,4979.16,66.49,425.7,0.61,0.59,0.19,0.93,1620.03,0.48,0.74,0.32,0.85,3359.12,0.325362109271443
st11919,29612.62,169.45,390,0.73,0.6,0.2,0.98,23317.26,0.42,0.59,0.19,0.93,6295.36,0.787409557141516
st11920,16523.85,104.33,350.74,0.64,0.79,0.38,0.93,2858.34,0.38,0.64,0.23,0.81,13665.51,0.17298268865912
st11921,4622.22,68.15,232.94,0.65,0.46,0.11,0.95,1730.33,0.45,0.76,0.35,0.88,2891.89,0.374350420360779
st11922,10595.55,96.82,157.63,0.57,0.66,0.25,0.95,6276.48,0.35,0.57,0.18,0.88,4319.07,0.59236943811317
st11923,21135.27,141.29,298.77,0.76,0.41,0.09,0.97,14660.59,0.36,0.57,0.18,0.89,6474.68,0.693655202890713
st11924,16248.67,65.52,449.18,0.2,0.93,0.64,0.78,6667.53,0.33,0.96,0.73,0.86,9581.14,0.410343123467951
st11925,10000.28,58.38,546.86,0.28,0.97,0.74,0.85,4360,0.17,0.95,0.7,0.71,5640.27,0.435987792341814
st11926,4607.1,60.33,344.57,0.7,0.68,0.26,0.94,1712.82,0.35,0.88,0.52,0.77,2894.28,0.371778342124113
st11927,14928.95,106.36,442.72,0.58,0.77,0.36,0.94,10829,0.29,0.81,0.41,0.87,4099.95,0.725369165279541
st11928,7143.07,75.56,148.87,0.51,0.52,0.15,0.93,4337.72,0.3,0.63,0.22,0.89,2805.35,0.607262703571434
st11929,2792.28,47.43,148.87,0.48,0.66,0.25,0.93,809.39,0.1,0.82,0.43,0.73,1982.89,0.289867062042489
st11930,23096.1,147.64,194.57,0.73,0.6,0.2,0.97,16833.71,0.44,0.61,0.21,0.9,6262.38,0.728855088088465
st11931,26720.05,164.38,313.22,0.75,0.58,0.18,0.96,14228.26,0.28,0.69,0.28,0.89,12491.79,0.5324937640461
st11932,33676.07,170.29,503.24,0.62,0.68,0.27,0.96,19611.78,0.2,0.77,0.36,0.77,14064.29,0.582365460102678
st11933,29766.47,149.78,140.21,0.45,0.65,0.24,0.92,24971.19,0.42,0.66,0.25,0.92,4795.29,0.838903302944555
st11934,22504.35,145.49,453.96,0.69,0.59,0.2,0.97,14630.34,0.24,0.63,0.22,0.83,7874,0.650111645081951
st11935,16409.92,130.57,140.21,0.6,0.47,0.11,0.95,10609.88,0.39,0.4,0.08,0.91,5800.04,0.646552816832745
st11936,9440.82,94.15,253.7,0.59,0.54,0.16,0.92,4964.83,0.27,0.29,0.04,0.84,4475.99,0.525889700259088
st11937,16867.26,120.79,253.7,0.61,0.62,0.21,0.96,9362.02,0.32,0.36,0.07,0.87,7505.24,0.555040949152382
st11938,28442.66,141.26,324.16,0.24,0.63,0.22,0.8,19828.06,0.39,0.6,0.2,0.89,8614.6,0.697123968011431
st11939,4126.1,54.36,324.16,0.35,0.76,0.35,0.85,808.37,0.17,0.89,0.55,0.44,3317.73,0.19591624051768
st11940,10287.62,59.16,556.53,0.29,0.96,0.74,0.89,4961.65,0.17,0.96,0.72,0.73,5325.98,0.482293280661611
st11941,5338.83,67.59,433.02,0.63,0.56,0.17,0.91,3281.69,0.3,0.64,0.23,0.83,2057.14,0.614683366954932
st11942,14732.91,105.95,378.92,0.54,0.77,0.36,0.93,9899.76,0.32,0.81,0.42,0.83,4833.15,0.671948718888529
st11943,7529.57,79.79,142.85,0.59,0.56,0.17,0.95,5090.03,0.4,0.65,0.24,0.85,2439.55,0.676005402698959
st11944,21259.9,140.6,207.56,0.78,0.57,0.18,0.97,15476.47,0.38,0.57,0.18,0.91,5783.43,0.727965324390049
st11945,26043.7,156.21,315.97,0.71,0.6,0.2,0.96,13852.68,0.29,0.79,0.38,0.87,12191.03,0.531901381140161
st11946,32368.63,145.94,471.1,0.48,0.67,0.26,0.93,20967.78,0.12,0.68,0.27,0.79,11400.85,0.647780891560749
st11947,28043.19,147.37,149.26,0.63,0.68,0.27,0.95,23171.15,0.4,0.69,0.27,0.92,4872.04,0.826266555267072
st11948,19019.57,127.66,448.49,0.54,0.59,0.19,0.93,10911.1,0.22,0.76,0.35,0.8,8108.47,0.573677533193442
st11949,15351.61,122.52,149.26,0.7,0.33,0.06,0.96,9835.97,0.38,0.41,0.09,0.89,5515.65,0.640712602782379
st11950,7201.97,82.5,256.89,0.69,0.61,0.21,0.95,4545.01,0.39,0.44,0.1,0.88,2656.96,0.631078718739456
st11951,17500.06,133.02,256.89,0.71,0.56,0.17,0.97,11299.65,0.44,0.54,0.16,0.91,6200.41,0.645692071912896
st11952,28266.4,152.49,318.27,0.47,0.56,0.17,0.91,18667.18,0.32,0.68,0.27,0.83,9599.22,0.660401749073104
st11953,10219.85,59.33,547.16,0.27,0.96,0.72,0.88,5216.13,0.21,0.97,0.74,0.76,5003.72,0.510392031194196
st11954,6401.68,67.83,416.02,0.49,0.56,0.17,0.92,4402.99,0.31,0.66,0.25,0.82,1998.69,0.68778664350608
st11955,7806.46,78.94,200.26,0.6,0.66,0.25,0.94,3785.77,0.08,0.63,0.22,0.7,4020.69,0.484953487240055
st11956,12847.93,99.71,447.27,0.45,0.74,0.32,0.92,8084.94,0.22,0.82,0.42,0.81,4763,0.629279580446033
st11957,18787.26,133.35,200.26,0.75,0.61,0.21,0.96,13558.85,0.44,0.64,0.23,0.91,5228.41,0.721704495493223
st11958,25278.66,158.65,309.22,0.74,0.59,0.19,0.96,13579.66,0.26,0.81,0.41,0.85,11699,0.537198569860902
st11959,30680.93,142.62,498.79,0.46,0.72,0.31,0.91,22985.68,0.32,0.75,0.34,0.88,7695.25,0.74918459121024
st11960,26059.17,129.16,144.21,0.48,0.68,0.26,0.93,22391.55,0.39,0.69,0.28,0.9,3667.62,0.859257988646607
st11961,18121.6,131.2,458.31,0.64,0.63,0.22,0.96,12833.95,0.38,0.63,0.22,0.91,5287.66,0.708212850962388
st11962,15461.68,125.42,144.21,0.67,0.49,0.13,0.96,10336.86,0.43,0.42,0.09,0.91,5124.82,0.668547014295989
st11963,3928.36,55.45,268.74,0.49,0.47,0.12,0.89,761.75,0.3,0.83,0.44,0.78,3166.61,0.193910435907096
st11964,18087.03,137.17,268.74,0.68,0.5,0.13,0.96,12103.01,0.5,0.62,0.21,0.93,5984.02,0.669154084446147
st11965,27001.37,157.84,364.75,0.66,0.53,0.15,0.96,20204.89,0.36,0.48,0.12,0.89,6796.48,0.748291290404894
st11966,30524.7,172.11,700.26,0.66,0.55,0.17,0.96,19906.97,0.34,0.69,0.28,0.87,10617.73,0.65215939878197
st11967,29988.66,181.92,188.85,0.85,0.47,0.12,0.99,18987.17,0.5,0.38,0.08,0.93,11001.5,0.633144995474956
st11968,12931.85,112.92,194.57,0.73,0.29,0.04,0.96,8255.05,0.34,0.39,0.08,0.88,4676.8,0.638350274709342
st11969,28259.47,164.38,188.85,0.57,0.48,0.12,0.97,19052.55,0.55,0.39,0.08,0.96,9206.92,0.674200542331473
st11970,23315.79,159.99,194.57,0.62,0.24,0.03,0.96,19194.23,0.48,0.35,0.06,0.94,4121.55,0.823228807602059
st11971,13382.83,115.6,430.2,0.69,0.48,0.12,0.97,347.39,0.67,0.49,0.13,0.89,13035.44,0.0259578878309
st11972,26187.09,144.84,56.44,0.72,0.72,0.31,0.97,19738.91,0.37,0.75,0.34,0.91,6448.19,0.753764927680013
st11973,27688.87,133.01,56.44,0.49,0.68,0.27,0.9,16130.19,0.29,0.69,0.28,0.84,11558.68,0.582551400616927
st11974,33207.7,143.87,60.7,0.54,0.83,0.44,0.94,19311.24,0.27,0.84,0.46,0.85,13896.46,0.581528982735932
st11975,33942.72,169.58,60.7,0.33,0.33,0.06,0.89,22147.75,0.37,0.51,0.14,0.9,11794.97,0.652503688567092
st11976,11610.08,85.75,413.13,0.48,0.87,0.51,0.95,6446.14,0.4,0.86,0.49,0.91,5163.94,0.555219257748439
st11977,23876.95,139.1,247.98,0.65,0.75,0.34,0.97,14277.5,0.4,0.65,0.24,0.91,9599.45,0.597961632453056
st11978,43879.44,201.72,210.88,0.58,0.54,0.16,0.97,28587.75,0.33,0.57,0.18,0.9,15291.69,0.651506719320028
st11979,2466.95,38.36,210.88,0.49,0.85,0.48,0.91,676.01,0.43,0.84,0.46,0.8,1790.94,0.274026632076045
st11980,32884.08,162.32,38.78,0.52,0.62,0.22,0.94,21104.46,0.31,0.69,0.28,0.89,11779.62,0.641783501317355
st11981,29405.33,181.24,202.86,0.76,0.41,0.09,0.98,17220.79,0.49,0.47,0.12,0.92,12184.54,0.585634985222067
st11982,27132.94,164.28,202.86,0.77,0.53,0.15,0.99,16648.94,0.37,0.48,0.12,0.93,10484,0.613606192325638
st11983,8244.93,89.03,218.93,0.57,0.33,0.06,0.95,3221.19,0.35,0.68,0.27,0.85,5023.73,0.390687367873348
