,glom_sizes,glom_diameters,glom_distance_to_closest_glom,glom_shape_circularity,glom_shape_eccentricity,glom_shape_elongation,glom_shape_solidity,glom_tuft_sizes,glom_tuft_shape_circularity,glom_tuft_shape_eccentricity,glom_tuft_shape_elongation,glom_tuft_shape_solidity,glom_bowman_sizes,glom_tufttocapsule_ratio
st32,19227.1,138.24,387.79,0.65,0.5,0.13,0.97,11437.69,0.29,0.54,0.16,0.88,7789.4,0.594873381841255
st33,24553.53,144.06,490.6,0.71,0.62,0.21,0.95,20007.15,0.32,0.63,0.22,0.89,4546.38,0.814838029399439
st34,9414.67,97.2,32.1,0.69,0.39,0.08,0.97,380.25,0.22,0.73,0.32,0.73,9034.42,0.040389094891271
st35,3724.14,50.58,339.78,0.26,0.79,0.39,0.86,1667.68,0.14,0.89,0.55,0.64,2056.46,0.447802714183677
st36,15544.58,109.19,512.77,0.44,0.71,0.3,0.94,690.79,0.04,0.47,0.12,0.51,14853.79,0.044439283660285
st37,10440,93.74,250.16,0.69,0.74,0.33,0.97,4607.89,0.17,0.82,0.43,0.77,5832.1,0.44136877394636
st38,17606.38,106.56,67.48,0.3,0.78,0.38,0.89,9704.52,0.3,0.85,0.48,0.78,7901.86,0.551193374220027
st39,19325.11,134.76,250.16,0.72,0.53,0.15,0.98,13583.98,0.31,0.66,0.25,0.89,5741.13,0.702918637979292
st40,24677.93,152.43,67.48,0.36,0.55,0.17,0.94,16762.65,0.33,0.64,0.23,0.87,7915.28,0.679256728582989
st41,14676.74,98.47,376.06,0.37,0.74,0.33,0.89,8010.91,0.18,0.77,0.36,0.7,6665.83,0.545823527568111
st42,9384.99,93.11,132.61,0.53,0.46,0.11,0.9,6317.53,0.43,0.58,0.19,0.92,3067.46,0.673152555303735
st43,10471.72,96.12,437.38,0.46,0.65,0.24,0.91,2717.8,0.27,0.8,0.4,0.78,7753.92,0.259537115201705
st44,24683.95,108.66,443.27,0.3,0.64,0.23,0.88,8118.59,0.33,0.61,0.21,0.89,16565.36,0.328901573694648
st45,26562.57,144.22,92.81,0.64,0.63,0.22,0.96,10465.92,0.12,0.79,0.38,0.61,16096.64,0.39401006754994
st46,11977.59,114.41,156.64,0.65,0.36,0.07,0.96,8700.34,0.61,0.42,0.09,0.94,3277.25,0.726384857053881
st47,40781.85,168.96,95.83,0.33,0.85,0.47,0.88,26373.92,0.21,0.84,0.45,0.76,14407.93,0.646707297486504
st48,11801.91,107,400.19,0.52,0.43,0.1,0.93,8640.87,0.4,0.43,0.1,0.87,3161.04,0.732158608225279
st49,4188.76,51.26,95.83,0.26,0.85,0.48,0.83,1565.79,0.23,0.67,0.26,0.73,2622.96,0.373807522990097
st50,17266.95,122.23,832.57,0.37,0.18,0.02,0.9,7576.65,0.19,0.82,0.43,0.74,9690.3,0.438794923249329
st51,19949.27,139.37,144.52,0.6,0.4,0.08,0.94,13112.19,0.33,0.38,0.07,0.86,6837.08,0.657276682304666
st52,5486.42,62.47,144.52,0.33,0.65,0.24,0.81,1215.79,0.4,0.7,0.29,0.87,4270.63,0.221599877515757
st53,16665.54,133.32,85.22,0.63,0.41,0.09,0.97,10310.02,0.36,0.56,0.17,0.86,6355.51,0.61864302026817
