Gene ID,Expression pattern,Fitted function,adjusted P-value,R-squared,mod_rsquared_adj,Terminal_logFC,Transient_logFC,Switching_time,area,cluster
GRXCR2,linear down quadratic up,linear_quadratic,0,0.29,0.65,-0.02,-1.8,0.03,59.63,4
SEMA5A,linear down quadratic up,linear_quadratic,0,0.25,0.63,-0.12,-0.82,0.1,48.83,2
PRKG1,linear down quadratic down,linear_quadratic,0,0.19,0.61,-0.19,-0.01,0.62,10.97,1
FHOD3,linear down quadratic up,linear_quadratic,0,0.19,0.61,0.01,-2.06,0.97,64.71,4
L3MBTL4,linear down quadratic up,linear_quadratic,0,0.19,0.60,-0.05,-1.51,0.04,56.02,4
NLGN1,linear down quadratic up,linear_quadratic,0,0.19,0.61,-0.18,-0.12,0.21,29.2,2
PDE1A,linear down quadratic up,linear_quadratic,0,0.18,0.61,0.01,-1.97,0.97,60.93,4
MALAT1,linear up quadratic down,linear_quadratic,2.63458465658498E-08,0.18,0.59,-0.14,0.54,0.87,41.93,1
PRELID2,linear down quadratic up,linear_quadratic,0,0.18,0.60,-0.1,-1.09,0.07,53.39,4
PPP1R1C,linear down quadratic up,linear_quadratic,0,0.18,0.59,-0.18,-0.17,0.18,32.03,2
LRRTM3,linear up quadratic down,linear_quadratic,9.64153649947744E-16,0.18,0.60,-0.13,0.69,0.89,45.77,1
PDLIM3,linear up quadratic down,linear_quadratic,0,0.17,0.59,-0.05,1.57,0.96,57.86,6
RRAD,linear up quadratic down,linear_quadratic,0,0.17,0.60,-0.05,1.54,0.96,57.19,6
AC022034.3,linear down quadratic up,linear_quadratic,0,0.17,0.60,-0.02,-1.93,0.03,61.49,4
AC011287.1,linear down quadratic up,linear_quadratic,0,0.17,0.61,-0.19,-0.05,0.25,25.06,2
HDAC9,linear down quadratic up,linear_quadratic,0,0.16,0.59,-0.19,-0.02,0.35,14.87,2
NEAT1,linear up,linear,0,0.16,0.58,0.21,0,0.5,0.33,5
PLEKHA5,linear down quadratic up,linear_quadratic,0,0.16,0.60,-0.07,-1.57,0.05,61.48,4
SLC8A1-AS1,linear up quadratic down,linear_quadratic,1.17931342578393E-55,0.16,0.59,-0.12,0.78,0.9,47.74,1
PDE1C,linear down quadratic up,linear_quadratic,0,0.15,0.59,-0.02,-2.01,0.03,65.8,4
SYNPO2,linear down quadratic up,linear_quadratic,0,0.15,0.59,-0.18,-0.13,0.21,28.21,2
LINC01428,linear down quadratic up,linear_quadratic,0,0.15,0.57,-0.15,-0.44,0.14,39.98,2
MBNL1,linear down,linear,0,0.15,0.58,-0.2,0,0.53,2.34,2
MLIP,linear up quadratic down,linear_quadratic,0,0.14,0.58,-0.18,-0.01,0.69,16.33,1
AUTS2,linear down quadratic up,linear_quadratic,3.08866201831383E-284,0.14,0.58,0.06,-1.47,0.97,58.98,4
CHRM2,linear down quadratic up,linear_quadratic,0,0.14,0.58,-0.19,-0.02,0.32,16.7,2
DLC1,linear down quadratic up,linear_quadratic,0,0.14,0.58,-0.01,-2.08,0.03,64.25,4
ADAMTS6,linear down quadratic up,linear_quadratic,0,0.14,0.57,-0.02,-1.8,0.03,58.94,4
TENT5A,linear down quadratic up,linear_quadratic,3.29659791700046E-200,0.14,0.58,0.11,-1.04,0.93,53.14,3
MGAT4C,linear down,linear,0,0.13,0.57,-0.2,0,0.5,0.48,2
CPNE5,linear down quadratic up,linear_quadratic,2.25981347899704E-06,0.13,0.61,0.15,-0.5,0.87,42.1,3
EMC10,linear down quadratic up,linear_quadratic,2.89611812514057E-110,0.13,0.57,0.17,-0.29,0.84,36.01,3
EIF1B,linear up quadratic down,linear_quadratic,0,0.13,0.56,-0.03,1.77,0.97,59.22,6
AC008014.1,linear down quadratic up,linear_quadratic,0,0.12,0.56,-0.09,-1.21,0.06,54.49,4
LINC00513,linear up quadratic down,linear_quadratic,1.44259574491334E-122,0.12,0.56,-0.1,1.01,0.92,51.67,1
MLIP-AS1,linear up quadratic down,linear_quadratic,3.78710789487673E-29,0.12,0.56,-0.15,0.43,0.86,39.33,1
CTNNA3,linear up quadratic down,linear_quadratic,0,0.12,0.58,-0.17,-0.03,0.71,16.48,1
LINC02334,linear down quadratic up,linear_quadratic,0,0.12,0.56,-0.13,-0.76,0.1,47.41,2
PACRG,linear down,linear,0,0.12,0.56,-0.2,0,0.51,1.36,2
MIR1-1HG,linear up quadratic down,linear_quadratic,0,0.12,0.56,0.17,0.23,0.18,33.38,5
TECRL,linear up quadratic down,linear_quadratic,0,0.11,0.57,-0.18,0,0.68,15.93,1
RNF150,linear down quadratic up,linear_quadratic,0,0.11,0.58,-0.06,-1.66,0.03,63.54,4
LAMA2,linear down quadratic up,linear_quadratic,0,0.11,0.57,-0.18,-0.08,0.36,14.42,2
INPP4B,quadratic down,quadratic,0,0.11,0.57,-0.2,0,0.63,12.53,1
EXT1,linear down quadratic up,linear_quadratic,1.24601963293011E-205,0.11,0.56,0.07,-1.43,0.96,58.03,4
PLXNA4,linear down quadratic up,linear_quadratic,1.2773857024968E-303,0.11,0.56,-0.03,-1.77,0.03,60.86,4
PLN,linear up quadratic down,linear_quadratic,2.10678974463078E-58,0.11,0.56,-0.11,0.9,0.91,49.78,1
FBXL7,linear down quadratic up,linear_quadratic,5.87052609223051E-278,0.11,0.57,0.02,-1.94,0.97,62.33,4
PCDH7,linear down quadratic up,linear_quadratic,0,0.11,0.58,-0.21,-0.01,0.31,20.04,2
DISC1,linear up quadratic down,linear_quadratic,6.78473265207994E-56,0.11,0.56,-0.12,0.85,0.91,49,1
SLC25A4,linear up quadratic down,linear_quadratic,2.11953351855395E-110,0.11,0.55,-0.1,1.09,0.93,52.75,1
AC018362.1,linear up quadratic down,linear_quadratic,2.24687218209437E-81,0.10,0.55,-0.11,0.98,0.92,51.16,1
ADGRL2,linear down quadratic up,linear_quadratic,0,0.10,0.56,-0.13,-0.72,0.11,46.96,2
COL21A1,linear down quadratic up,linear_quadratic,1.394344434e-314,0.10,0.55,-0.09,-1.2,0.06,54.32,4
THSD4,linear down quadratic up,linear_quadratic,6.08869769256276E-250,0.10,0.58,0.09,-1.26,0.96,57.53,3
TNNI3K,linear down,linear,0,0.10,0.57,-0.2,-0.01,0.5,0.52,2
ZFPM2-AS1,linear up quadratic down,linear_quadratic,0.000167553209929,0.10,0.55,-0.14,0.63,0.89,44.42,1
MIR133A1HG,linear up quadratic down,linear_quadratic,8.78955437735288E-171,0.10,0.55,-0.18,0.16,0.8,30.64,1
MIR646HG,linear down quadratic up,linear_quadratic,4.16330226101291E-274,0.10,0.57,0.01,-1.92,0.97,60.62,4
AP005329.2,linear up quadratic down,linear_quadratic,2.49642109586111E-163,0.10,0.55,-0.17,0.18,0.81,31.97,1
GABRB1,linear down quadratic up,linear_quadratic,0,0.10,0.55,-0.2,0,0.3,18.61,2
OSBPL8,linear down quadratic up,linear_quadratic,0,0.10,0.55,-0.02,-1.96,0.03,63.07,4
AC009264.1,linear up quadratic down,linear_quadratic,5.00830844803814E-187,0.10,0.55,-0.18,0.15,0.8,30.12,1
AC010680.5,linear up quadratic down,linear_quadratic,1.35768052669238E-32,0.10,0.55,-0.12,0.79,0.9,47.65,1
KLHL31,linear up quadratic down,linear_quadratic,4.34910677775891E-17,0.10,0.55,-0.13,0.72,0.89,46.5,1
RCAN2,linear down quadratic up,linear_quadratic,0,0.10,0.57,-0.15,-0.39,0.14,38.04,2
FBN2,linear down quadratic up,linear_quadratic,2.51576997495799E-215,0.09,0.55,0.04,-1.75,0.97,62.28,4
CTNND2,linear down quadratic up,linear_quadratic,0,0.09,0.55,-0.2,-0.01,0.35,14.18,2
PALLD,linear down quadratic up,linear_quadratic,2.1373e-320,0.09,0.56,-0.09,-1.25,0.06,57.1,2
SPHKAP,quadratic down,quadratic,0,0.09,0.56,-0.2,0,0.66,15.21,1
PPP1R3C,linear up quadratic down,linear_quadratic,2.5193810075016E-88,0.09,0.55,-0.11,0.96,0.92,50.61,1
NRG2,linear down quadratic up,linear_quadratic,1.32483063026466E-225,0.09,0.55,-0.03,-1.8,0.03,60.16,4
DPH6-DT,linear up quadratic down,linear_quadratic,2.24013764612769E-27,0.09,0.55,-0.16,0.37,0.85,38.27,1
PLCXD3,quadratic down,quadratic,0,0.09,0.56,-0.19,0,0.66,14.15,1
CERS6,linear down quadratic up,linear_quadratic,0,0.09,0.55,-0.19,-0.03,0.37,12.51,2
CBR4,linear up quadratic down,linear_quadratic,2.87176217307954E-34,0.09,0.54,-0.16,0.36,0.85,37.21,1
CD36,linear up quadratic down,linear_quadratic,1.52491378214814E-206,0.09,0.56,-0.17,0.1,0.77,25.37,1
CPVL,linear up quadratic down,linear_quadratic,1.50049340452542E-14,0.09,0.54,-0.13,0.72,0.89,46.25,1
AL513487.1,linear up quadratic down,linear_quadratic,0,0.09,0.54,-0.2,0,0.68,17.43,1
B4GALT1,linear up quadratic down,linear_quadratic,3.98513978779296E-279,0.09,0.54,0.06,1.5,0.04,57.64,6
ARHGAP24,linear down quadratic up,linear_quadratic,4.17895073066318E-271,0.09,0.55,-0.11,-1.03,0.08,52.65,2
DST,linear down quadratic up,linear_quadratic,4.03908195521823E-178,0.08,0.56,0.03,-2.11,0.97,69.72,4
PTPRM,linear down quadratic up,linear_quadratic,0,0.08,0.56,-0.08,-1.47,0.05,61.26,4
VLDLR-AS1,linear up quadratic down,linear_quadratic,6.33239214606042E-20,0.08,0.54,-0.13,0.67,0.89,45.27,1
AC100800.1,linear up quadratic down,linear_quadratic,3.35487676181783E-20,0.08,0.54,-0.13,0.75,0.9,46.87,1
SAMD12,linear down,linear,0,0.08,0.54,-0.2,0,0.49,0.62,2
RILPL1,linear up quadratic down,linear_quadratic,5.70487824681726E-301,0.08,0.54,0.15,0.5,0.13,41.3,6
HOOK2,linear up quadratic down,linear_quadratic,2.88274098413802E-97,0.08,0.54,-0.08,1.3,0.94,55.25,6
PALMD,linear up quadratic down,linear_quadratic,3.77668844109716E-29,0.08,0.54,-0.12,0.81,0.9,47.69,1
RFX2,linear up quadratic down,linear_quadratic,1.53309656594078E-274,0.08,0.54,-0.05,1.54,0.96,57.59,6
AC005400.1,linear up quadratic down,linear_quadratic,4.27878654267463E-56,0.08,0.54,-0.11,0.89,0.91,49.63,1
MPPED2,linear down quadratic up,linear_quadratic,4.88311770951736E-302,0.08,0.54,-0.13,-0.64,0.11,44.13,2
AC139720.1,linear up quadratic down,linear_quadratic,7.71864952655777E-26,0.08,0.54,-0.16,0.4,0.86,38.76,1
CLEC2D,linear down quadratic up,linear_quadratic,0,0.08,0.54,-0.13,-0.8,0.09,48.96,2
ZBTB20-AS5,linear up quadratic down,linear_quadratic,1.50955501862319E-10,0.08,0.54,-0.13,0.72,0.89,46.37,1
FBXL17,linear down,linear,0,0.08,0.55,-0.2,0,0.51,1.18,2
PYGB,linear down quadratic up,linear_quadratic,5.66984932326394E-144,0.08,0.54,0.05,-1.59,0.97,59.23,4
TXNIP,linear up quadratic down,linear_quadratic,4.54573602956407E-250,0.08,0.54,0.12,0.85,0.09,48.46,6
LINC02615,linear down quadratic up,linear_quadratic,0,0.08,0.54,-0.12,-0.84,0.1,48.06,2
MYBPC3,linear up quadratic down,linear_quadratic,0,0.08,0.56,0.21,0,0.43,6.85,5
TTN,linear down quadratic up,linear_quadratic,3.63757648087828E-188,0.07,0.54,-0.09,-1.24,0.05,56.26,2
LINC00486,linear up,linear,0,0.07,0.54,0.21,0,0.5,0.18,5
TCAP,linear up quadratic down,linear_quadratic,2.02133370685103E-61,0.07,0.54,-0.11,0.92,0.92,50.39,1
TRIM63,linear up quadratic down,linear_quadratic,5.07304371857286E-244,0.07,0.54,0.08,1.26,0.06,54.84,6
ABLIM3,linear down quadratic up,linear_quadratic,2.21767354522054E-226,0.07,0.54,-0.11,-0.91,0.09,50.22,2
GRAMD4,linear up quadratic down,linear_quadratic,0,0.07,0.54,0.2,0,0.47,3.45,5
PIK3R1,linear down quadratic up,linear_quadratic,3.749637634823e-312,0.07,0.54,-0.18,-0.12,0.21,28.18,2
TXLNB,linear down quadratic up,linear_quadratic,4.50564267805e-312,0.07,0.54,-0.2,0,0.42,8.25,2
ETFDH,linear up quadratic down,linear_quadratic,0.002596605813244,0.07,0.54,-0.15,0.48,0.87,40.77,1
ZBTB20,quadratic down,quadratic,0,0.07,0.56,-0.18,-0.03,0.66,12.34,1
CKMT2,linear up quadratic down,linear_quadratic,0.000240303551315,0.07,0.54,-0.15,0.51,0.87,41.3,1
CCDC141,linear down,linear,0,0.07,0.55,-0.19,-0.01,0.51,0.26,2
SGCD,linear up quadratic down,linear_quadratic,0,0.07,0.57,-0.19,0,0.69,17.04,1
LDB3,linear down quadratic up,linear_quadratic,1.51168463969836E-238,0.07,0.55,0.19,-0.05,0.76,25.22,5
HECW2,linear down quadratic up,linear_quadratic,1.34589001612567E-285,0.07,0.54,-0.21,0,0.38,12.06,2
PTPRG,linear down quadratic up,linear_quadratic,3.26663131126172E-93,0.07,0.55,0.09,-1.26,0.95,56.61,3
