Gene ID,Expression pattern,Fitted function,adjusted P-value,R-squared,mod_rsquared_adj,Terminal_logFC,Transient_logFC,Switching_time,area,cluster
MED15,quadratic up,quadratic,2.05210550409272E-22,-0.05,0.48,0.21,0,0.64,13.83,5
CYP39A1,linear up quadratic down,linear_quadratic,2.42683820842358E-43,-0.05,0.48,-0.18,0.11,0.79,28.38,1
SPARCL1,linear up quadratic down,linear_quadratic,1.10857455129451E-19,-0.05,0.48,-0.12,0.89,0.91,49.58,1
CERS5,linear up,linear,3.87505889840171E-16,-0.05,0.48,0.22,0,0.49,0.78,5
RNASEH2B,linear down,linear,1.39823662820165E-19,-0.05,0.48,-0.2,0,0.51,0.98,2
RHOA,linear up,linear,6.04611428949971E-33,-0.05,0.48,0.22,0,0.51,1.33,5
SCAI,linear up,linear,1.75704972787583E-09,-0.05,0.48,0.23,0,0.53,3.86,5
ZFAND4,linear down,linear,0.006883228288305,-0.05,0.47,-0.2,0,0.48,2.25,2
HNRNPR,linear down,linear,0.002396263993292,-0.05,0.47,-0.21,0,0.5,0.37,2
MRPS31,linear up quadratic down,linear_quadratic,5.97883345638711E-05,-0.05,0.47,-0.17,0.22,0.82,33.44,1
CHD4,quadratic up,quadratic,4.17316400126426E-48,-0.05,0.48,0.2,0,0.64,13.28,5
ZNF717,linear up quadratic down,linear_quadratic,0.002959183870647,-0.05,0.47,-0.14,0.56,0.87,42.5,1
CHKB,linear up quadratic down,linear_quadratic,4.34677387379344E-17,-0.05,0.47,-0.12,0.88,0.91,49.62,1
FBRSL1,quadratic up,quadratic,1.52253307508301E-59,-0.05,0.48,0.2,0,0.65,14.18,5
ADAR,linear up quadratic down,linear_quadratic,0.000844994965181,-0.05,0.47,-0.14,0.62,0.88,43.97,1
SLIRP,linear up quadratic down,linear_quadratic,7.90990316828656E-16,-0.05,0.47,-0.12,0.89,0.91,49.61,1
SYMPK,linear up quadratic down,linear_quadratic,1.43985811006581E-12,-0.05,0.48,-0.11,0.89,0.91,49.05,1
EIF4B,linear up quadratic down,linear_quadratic,9.48710170388563E-12,-0.05,0.47,-0.1,0.94,0.91,48.96,1
VPS26C,linear up quadratic down,linear_quadratic,3.51699227893714E-07,-0.05,0.47,-0.13,0.69,0.89,45.92,1
XPO7,linear down,linear,1.2979958502719E-08,-0.05,0.47,-0.2,0,0.51,0.96,2
H2AFV,linear up quadratic down,linear_quadratic,0.020516325971028,-0.05,0.47,-0.15,0.48,0.86,40.55,1
TBCEL,linear down,linear,4.57425852642097E-06,-0.05,0.47,-0.19,-0.01,0.5,0.34,2
C19orf18,linear up,linear,9.14829382747803E-25,-0.05,0.47,0.21,0,0.49,0.8,5
SH3YL1,linear up quadratic down,linear_quadratic,2.64224461223324E-10,-0.06,0.47,-0.12,0.9,0.91,50.14,1
AC006001.2,linear up,linear,3.64099708348271E-20,-0.06,0.47,0.22,0,0.5,0.23,5
ATP5F1D,linear up quadratic down,linear_quadratic,2.25324007228559E-28,-0.06,0.47,-0.11,0.93,0.91,50.19,1
