,tubule_diameters,tubule_sizes,tubule_distance_to_closest_instance,sampleID,Time_score
128,80.32,21923.29,1.69,VALIGA_mhnhhiaij6,591
129,11.93,197.52,19.9,VALIGA_mhnhhiaij6,591
130,30.52,2536.54,9.96,VALIGA_mhnhhiaij6,591
131,41.14,2257.04,4.59,VALIGA_mhnhhiaij6,591
132,33.87,1601.84,21.07,VALIGA_mhnhhiaij6,591
133,26.85,1467.32,3.03,VALIGA_mhnhhiaij6,591
134,22.26,806.32,21.76,VALIGA_mhnhhiaij6,591
135,21.18,696.25,10.59,VALIGA_mhnhhiaij6,591
136,10.87,187.17,11.13,VALIGA_mhnhhiaij6,591
137,37.25,1345.99,1.39,VALIGA_mhnhhiaij6,591
138,74.24,14432.03,1.51,VALIGA_mhnhhiaij6,591
139,12.4,251.07,21.7,VALIGA_mhnhhiaij6,591
140,37.97,1581.71,3.03,VALIGA_mhnhhiaij6,591
141,49.49,6997.86,1.82,VALIGA_mhnhhiaij6,591
142,16.86,388.32,14.03,VALIGA_mhnhhiaij6,591
143,16.68,389.0,5.41,VALIGA_mhnhhiaij6,591
144,29.28,1761.04,9.5,VALIGA_mhnhhiaij6,591
145,14.84,198.65,9.96,VALIGA_mhnhhiaij6,591
146,46.73,2360.97,1.69,VALIGA_mhnhhiaij6,591
147,55.61,6682.77,1.69,VALIGA_mhnhhiaij6,591
148,76.16,10646.84,1.01,VALIGA_mhnhhiaij6,591
149,60.21,3551.86,1.39,VALIGA_mhnhhiaij6,591
150,20.03,383.55,9.96,VALIGA_mhnhhiaij6,591
151,63.4,6696.76,1.69,VALIGA_mhnhhiaij6,591
152,18.6,353.98,5.58,VALIGA_mhnhhiaij6,591
153,53.21,4420.95,7.43,VALIGA_mhnhhiaij6,591
154,9.96,236.06,33.05,VALIGA_mhnhhiaij6,591
155,57.91,7369.58,1.22,VALIGA_mhnhhiaij6,591
156,11.8,314.18,13.31,VALIGA_mhnhhiaij6,591
157,15.26,313.73,2.02,VALIGA_mhnhhiaij6,591
158,35.62,2163.23,9.5,VALIGA_mhnhhiaij6,591
159,45.43,1991.64,5.44,VALIGA_mhnhhiaij6,591
160,32.65,971.77,3.95,VALIGA_mhnhhiaij6,591
161,64.07,6897.0,1.82,VALIGA_mhnhhiaij6,591
162,57.26,5855.41,1.39,VALIGA_mhnhhiaij6,591
163,15.87,246.07,3.2,VALIGA_mhnhhiaij6,591
164,49.16,4105.07,2.38,VALIGA_mhnhhiaij6,591
165,48.26,3358.78,1.39,VALIGA_mhnhhiaij6,591
166,29.65,1708.16,3.95,VALIGA_mhnhhiaij6,591
167,51.58,3358.56,1.69,VALIGA_mhnhhiaij6,591
168,23.86,1346.79,5.44,VALIGA_mhnhhiaij6,591
169,8.77,221.17,2.78,VALIGA_mhnhhiaij6,591
170,50.67,2362.45,7.43,VALIGA_mhnhhiaij6,591
171,79.58,11515.24,1.35,VALIGA_mhnhhiaij6,591
172,31.6,1653.01,19.64,VALIGA_mhnhhiaij6,591
173,28.36,1461.98,4.52,VALIGA_mhnhhiaij6,591
174,56.91,3234.38,1.69,VALIGA_mhnhhiaij6,591
175,21.55,634.16,1.22,VALIGA_mhnhhiaij6,591
176,50.68,4593.45,2.13,VALIGA_mhnhhiaij6,591
177,61.07,4106.09,1.01,VALIGA_mhnhhiaij6,591
178,54.81,3683.54,1.22,VALIGA_mhnhhiaij6,591
179,14.56,1051.94,10.92,VALIGA_mhnhhiaij6,591
180,85.97,11725.95,1.69,VALIGA_mhnhhiaij6,591
181,49.39,3519.0,9.17,VALIGA_mhnhhiaij6,591
182,59.3,4107.68,0.95,VALIGA_mhnhhiaij6,591
183,33.87,2114.68,1.35,VALIGA_mhnhhiaij6,591
184,52.1,7100.43,2.16,VALIGA_mhnhhiaij6,591
185,48.46,3026.75,1.07,VALIGA_mhnhhiaij6,591
186,14.84,943.34,7.4,VALIGA_mhnhhiaij6,591
